folder,psnr,ssim,lpips
04_04_2024_W_C_Salsa_P_3,6.60294,0.02871,1.02192
04_04_2024_W_C_Corn1_F_1,13.2608,0.45022,0.86386
04_18_2024_W3_F_Flour_P_2,13.71132,0.47284,0.80053
04_04_2024_W2_C_Chips2_P_3,12.80813,0.38887,0.97328
04_04_2024_W2_C_Mangoes1_F_1,14.64426,0.49617,0.80348
04_18_2024_W_F_Various_P_2,5.72054,0.01421,1.03983
04_18_2024_W2_F_AppleJuice2_P_3,5.96663,0.00713,1.04073
04_04_2024_W_C_Greens1_V_1,13.06762,0.35846,0.76383
04_19_2024_S2_F_Spices_P_3,6.05691,0.01976,0.97909
04_18_2024_W2_F_Oil_P_3,11.12917,0.38592,0.91035
04_18_2024_W3_F_Sauce1_P_1,10.56273,0.34824,0.88361
04_18_2024_W_F_Oranges1_F_1,14.4468,0.55919,0.91167
04_18_2024_W2_F_Potatoes1_V_1,5.58894,0.00697,1.03026
04_04_2024_S_C_Mayo_P_2,6.22173,0.01447,0.9913
04_04_2024_S_C_Lemons1_F_1,6.34782,0.05849,1.04245
03_21_2024_W_L_PastaSauce1_P_1,13.55939,0.42997,0.77608
04_04_2024_W_C_Apples3_F_1,16.28253,0.52093,0.6737
04_18_2024_W3_F_Avacados1_F_1,13.32005,0.38249,0.78421
04_19_2024_W_F_Bread_P_2,5.83526,0.01336,1.03191
03_21_2024_W_L_Cantaloupes_F_2,15.5148,0.4287,0.80457
04_19_2024_W4_F_Juices_P_3,10.65731,0.37422,0.98926
04_19_2024_S2_F_Onions3_V_1,13.25957,0.42188,0.79673
04_19_2024_S2_F_Vinegar_P_3,5.86405,0.01174,1.04887
04_18_2024_W_F_MacAndCheese1_P_1,5.91375,0.0179,1.06902
04_18_2024_W3_F_Cereal_P_2,11.9365,0.41736,0.84875
04_04_2024_W_C_Sugar_P_2,5.81602,0.00658,1.03266
04_04_2024_W2_C_PotatoesLong1_V_1,14.91477,0.53023,0.72341
04_18_2024_W_F_Chips2_P_3,11.154,0.32947,1.02471
04_04_2024_S_C_Sauce_P_3,11.24607,0.3433,1.01625
04_18_2024_W_F_Cans3_P_2,5.77248,0.01113,1.00891
03_07_2024_S_L_OrangesLong1_F_1,13.25435,0.46684,0.97587
04_18_2024_W3_F_Pears1_F_1,16.13479,0.53945,0.73594
03_04_2024_S_L_ChipsSalsa2_P_1,7.40923,0.01687,0.8649
03_04_2024_S_L_Nuts_P_2,15.71066,0.38103,0.75413
03_04_2024_S_L_Apples_F_2,14.77796,0.46602,0.78072
04_04_2024_S_C_Various2_V_2,15.36137,0.49783,0.71802
04_18_2024_W2_F_Apples3_F_1,16.35985,0.58128,0.66885
04_18_2024_W_F_Jam_P_3,8.8888,0.04887,0.93148
04_04_2024_W2_C_Chips4_P_3,6.76154,0.00984,1.06705
04_19_2024_S2_F_Greens1_V_1,14.68799,0.41752,0.75621
04_04_2024_W_C_Ketchup_P_3,11.09309,0.37648,0.98381
03_21_2024_W_L_Cookies1_P_1,15.1831,0.46993,0.72302
04_18_2024_W2_F_Apples4_F_1,13.583,0.40195,0.72066
04_18_2024_W2_F_Coffee_P_3,12.08072,0.42717,0.94058
03_21_2024_W_L_Peppers_F_2,13.89349,0.41531,0.71151
04_04_2024_S_C_Apples2_F_1,17.56603,0.67009,0.63106
04_18_2024_W_F_Oil_P_3,null,null,null
04_18_2024_W2_F_Candy2_P_2,11.51891,0.37154,0.85186
04_04_2024_W_C_Coffee3_P_2,6.6237,0.0109,1.02123
04_18_2024_W2_F_PeanutButter_P_3,10.66743,0.37026,0.89324
04_04_2024_W_C_Tomatoes2_F_1,6.39908,0.02823,1.07253
04_18_2024_W_F_Coconuts1_F_1,17.62245,0.65688,0.55124
03_04_2024_S_L_Greens1_V_1,8.44314,0.0044,0.90583
04_19_2024_S2_F_Oranges1_F_1,14.66317,0.55143,0.82137
03_21_2024_W_L_Spices1_P_1,14.14822,0.4095,0.70736
04_04_2024_S_C_Cantaloupe_F_2,null,null,null
04_04_2024_W_C_Coffee2_P_2,6.65704,0.02291,0.91543
04_04_2024_W2_C_Bananas2_F_1,15.03373,0.54983,0.74179
04_04_2024_W_C_GranolaBars2_P_2,12.10249,0.42313,0.94831
04_18_2024_W_F_Spices_P_3,10.75249,0.39219,0.84309
04_04_2024_W_C_Snacks2_P_2,5.803,0.00653,1.03518
04_19_2024_S2_F_Chips2_P_3,11.3759,0.32726,1.01253
04_19_2024_S2_F_Avacados1_F_1,5.78126,0.00695,1.03571
03_21_2024_W_L_Pickles1_P_1,null,null,null
04_04_2024_W_C_Oranges1_F_1,15.68711,0.59099,0.75587
04_04_2024_W2_C_SourCream_P_3,11.03015,0.34694,0.87137
04_18_2024_W3_F_Candy3_P_2,11.45183,0.38869,0.8379
04_04_2024_W2_C_Potatoes1_V_1,11.96896,0.06101,0.80545
04_18_2024_W2_F_TomatoCans1_P_1,11.33867,0.3463,1.03067
04_18_2024_W3_F_CanSoup2_P_3,9.57893,0.26811,0.98757
04_18_2024_W2_F_OliveOil_P_3,6.10213,0.01106,1.01814
03_21_2024_W_L_Chips_P_2,13.28908,0.36391,0.77481
04_18_2024_W_F_Candy_P_3,11.77574,0.40884,0.98498
04_04_2024_W_C_Mangoes2_F_1,18.20089,0.58968,0.61426
04_19_2024_S2_F_Onions1_V_1,13.12071,0.45355,0.81428
04_04_2024_S_C_Coffee2_P_3,12.23963,0.37444,0.99762
04_18_2024_W_F_Apples4_F_1,16.02835,0.5475,0.71576
04_19_2024_S2_F_Melons1_F_1,13.94775,0.54991,0.87024
04_19_2024_S2_F_Salsa_P_2,11.14558,0.3005,0.8097
04_04_2024_W_C_Coffee_P_2,6.13529,0.01786,1.04597
04_04_2024_W_C_CannedPeas_P_3,12.45806,0.36671,0.79899
04_18_2024_W3_F_Alfredo1_P_1,11.00853,0.37329,0.99327
04_18_2024_W3_F_Tomatoes1_F_1,13.99793,0.4375,0.95967
04_19_2024_W4_F_CanBeans2_P_3,11.05123,0.3882,0.93385
03_21_2024_W_L_Nuts1_P_1,14.60875,0.47855,0.72373
04_18_2024_W2_F_PastaSauce2_P_1,11.22793,0.38147,0.95159
04_04_2024_S_C_Apples_P_3,8.50472,0.16704,1.01475
04_19_2024_S2_F_PastaSauce_P_2,12.03738,0.37958,0.9735
04_18_2024_W2_F_Plantains1_F_1,16.49358,0.60362,0.69916
04_18_2024_W2_F_Pringles_P_2,11.95556,0.37142,0.81014
04_18_2024_W_F_Bread2_P_3,11.11329,0.44741,0.90504
04_18_2024_W2_F_Random_P_3,11.37869,0.40629,0.90322
04_18_2024_W2_F_Cans_P_2,5.94554,0.01662,1.04778
04_04_2024_W_C_Sauce2_P_3,6.18039,0.01592,1.03822
04_04_2024_W_C_Ranch_P_3,10.43289,0.29519,0.93866
03_04_2024_S_L_FruitsLong_F_1,null,null,null
04_04_2024_NG_C_PeanutButter_P_2,14.06136,0.46006,0.77737
04_19_2024_S2_F_Jam1_P_1,10.54803,0.33344,0.98881
04_18_2024_W3_F_PastaSauce1_P_1,null,null,null
03_21_2024_W_L_Candy_P_2,14.32874,0.45777,0.71806
04_18_2024_W2_F_Juice_P_3,11.7592,0.41466,0.9877
04_04_2024_S_C_Sauces_P_2,null,null,null
04_18_2024_W3_F_Bananas2_F_1,15.38053,0.58036,0.75556
04_04_2024_W2_C_Candy2_P_3,12.01596,0.35026,0.94466
04_18_2024_W3_F_CanSoup_P_3,5.6388,0.02496,1.04971
04_19_2024_W4_F_RedOnions1_V_1,13.54993,0.42013,0.76981
04_04_2024_W_C_GranolaBars3_P_2,12.80254,0.42001,0.95885
04_18_2024_W2_F_Cans2_P_2,5.77892,0.0163,1.03744
03_21_2024_W_L_Apples_F_2,14.27772,0.49181,0.79025
03_04_2024_S_L_Greens_V_2,16.49606,0.45422,0.66527
04_18_2024_W_F_Broccoli1_V_1,16.65243,0.43902,0.65897
04_18_2024_W2_F_Candy_P_2,null,null,null
03_21_2024_W_L_Pastasauce_P_2,12.91183,0.39431,0.80938
04_19_2024_S2_F_Chips5_P_3,11.70037,0.38103,1.00261
04_19_2024_W4_F_Salsa_P_3,10.24722,0.30788,1.00611
03_07_2024_S_L_Apples3_F_2,6.53396,0.01301,1.05829
03_21_2024_W_L_Plantains1_F_1,17.15895,0.60545,0.68444
04_04_2024_W2_C_Tea_P_3,6.96922,0.0092,1.00882
04_18_2024_W2_F_Candy5_P_2,11.93376,0.37256,0.83084
04_19_2024_W4_F_Random_P_3,12.01066,0.40367,0.97755
04_04_2024_S_C_Oranges1_F_1,18.19244,0.70041,0.61843
04_18_2024_W2_F_Cans3_P_2,6.23839,0.00623,1.03296
04_04_2024_W2_C_Lemons1_F_1,16.69052,0.52038,0.72947
04_19_2024_W4_F_Onions2_V_1,4.62722,0.00489,1.03776
04_18_2024_W_F_Cans5_P_2,12.47593,0.34505,0.80301
04_18_2024_W3_F_Coffee_P_2,6.06302,0.02986,1.03185
04_18_2024_W3_F_Oils3_P_2,6.37601,0.02367,0.99153
04_04_2024_W_C_Melons1_F_1,10.73049,0.11529,0.87448
04_18_2024_W2_F_Vinegar_P_3,5.73569,0.00981,1.02055
03_04_2024_S_L_Onions1_V_1,14.8532,0.44015,0.77245
04_04_2024_S_C_Chips2_P_1,5.97817,0.01032,1.05453
03_04_2024_S_L_Onions_V_2,14.9816,0.4777,0.77609
04_18_2024_W2_F_Apples2_F_1,14.37096,0.45301,0.78498
04_19_2024_W4_F_Greens2_V_1,12.24168,0.31878,0.93469
04_18_2024_W_F_Asparagus1_V_1,13.66654,0.32639,0.74474
04_04_2024_W_C_Greens3_V_1,15.15,0.41061,0.6538
04_18_2024_W3_F_Apples1_F_1,6.00521,0.01077,1.06872
04_04_2024_W2_C_Apples1_F_1,14.32861,0.50255,0.84521
04_19_2024_S2_F_Oil1_P_1,5.94618,0.01767,1.02749
04_18_2024_W3_F_Powerade_P_3,6.10197,0.01937,1.03705
04_18_2024_W3_F_Juice_P_3,11.24043,0.36997,1.01972
03_21_2024_W_L_Nectarines2_F_1,16.27035,0.40713,0.68799
04_18_2024_W2_F_Pickles_P_2,10.85257,0.3679,0.85317
04_18_2024_W3_F_Chilli_P_3,9.49162,0.22519,0.83902
04_18_2024_W_F_Snacks_P_3,11.85603,0.37403,1.01402
04_18_2024_W2_F_Radish1_V_1,13.31861,0.3865,0.90392
04_04_2024_W2_C_Oil2_P_3,6.22657,0.00752,1.03774
04_18_2024_W2_F_AppleSauce1_P_1,11.30519,0.36413,0.98392
04_19_2024_W_F_Dressings_P_2,5.99615,0.01187,1.02917
04_04_2024_W_C_Pineapples1_F_1,13.2743,0.33001,0.94262
04_04_2024_W_C_CakeBatter_P_2,14.47859,0.45698,0.73501
04_18_2024_W3_F_AppleJuice_P_3,10.28939,0.32381,0.88433
04_04_2024_S_C_Potatoes_V_2,4.98746,0.01066,1.02129
04_04_2024_W2_C_Sauce_P_2,11.86464,0.40882,0.95899
04_04_2024_NG_C_Oats_P_3,12.31309,0.38871,0.96312
04_18_2024_W2_F_Melons1_F_1,16.56903,0.42285,0.75417
04_19_2024_W4_F_Pineapples1_F_1,13.49632,0.34752,0.92762
04_18_2024_W3_F_Cans_P_2,11.83832,0.40972,0.84545
04_04_2024_W2_C_Oranges1_F_1,16.5402,0.57477,0.72613
04_18_2024_W_F_Tomatoes1_F_1,14.60107,0.45848,0.7671
04_18_2024_W2_F_Peppers1_F_1,6.86468,0.08898,1.05815
04_04_2024_W_C_Onions2_V_1,15.554,0.52782,0.73906
04_04_2024_W2_C_Ranch_P_2,13.1003,0.44572,0.80221
04_04_2024_W_C_Avocados1_F_1,14.66013,0.40176,0.70691
04_19_2024_W4_F_Plantains1_F_1,null,null,null
03_07_2024_S_L_Organic1_F_1,17.15441,0.49413,0.64299
04_19_2024_W4_F_Watermelons1_F_1,15.39521,0.4981,0.76148
04_18_2024_W_F_Ranch_P_2,5.81072,0.01306,1.01808
04_18_2024_W3_F_Salsa1_P_1,6.14517,0.01314,1.01698
04_18_2024_W3_F_Nectarines1_F_1,13.19973,0.42129,0.80925
03_04_2024_S_L_Flowers_F_1,6.14147,0.00784,1.03911
04_18_2024_W_F_Plantains1_F_1,20.03406,0.72268,0.52102
04_04_2024_W_C_Oils2_P_3,11.27696,0.38427,0.96159
04_18_2024_W_F_Bananas1_F_1,13.74155,0.48592,0.77363
04_04_2024_W_C_Bread2_P_2,13.63684,0.47243,0.87352
03_07_2024_S_L_ChipsSalsa1_P_1,null,null,null
04_19_2024_W4_F_Avacados1_F_1,13.96674,0.37869,0.72559
04_19_2024_S2_F_Juice2_P_1,11.72798,0.32743,0.9976
04_18_2024_W_F_Spices1_P_1,10.79745,0.32349,0.85583
04_18_2024_W2_F_Snacks_P_2,12.43093,0.38819,0.82105
04_19_2024_W_F_Pickles_P_2,11.2009,0.39853,0.83896
04_19_2024_W_F_Jelly_P_2,11.80068,0.39097,0.83863
04_18_2024_W_F_Apples2_F_1,14.80637,0.5096,0.76219
04_04_2024_W2_C_Beans_P_3,12.00219,0.4014,1.00455
04_18_2024_W2_F_PastaSauce1_P_1,11.39361,0.37829,0.83994
04_18_2024_W3_F_Grapefruits1_F_1,15.82394,0.55034,0.7482
04_04_2024_W2_C_Cucumbers2_V_1,13.51144,0.42225,0.73834
03_04_2024_S_L_Peppers_V_2,7.60364,0.00824,1.01748
04_18_2024_W2_F_Coffee4_P_3,12.02339,0.4918,0.92771
04_04_2024_W_C_Chips_P_2,14.31125,0.39643,0.70192
04_19_2024_W4_F_Pears1_F_1,13.2886,0.48532,0.8327
03_21_2024_W_L_Apples1_F_1,17.76077,0.54025,0.6873
04_19_2024_W4_F_Lemons1_F_1,16.33933,0.59133,0.70985
04_04_2024_W2_C_Pineapples1_F_1,12.99837,0.24544,0.86863
04_18_2024_W_F_Oils_P_2,5.87646,0.01,1.04544
03_07_2024_S_L_Apples1_F_1,16.86015,0.54422,0.6298
04_04_2024_S_C_Exotic_F_2,15.36683,0.5678,0.71928
04_18_2024_W2_F_Jam1_P_1,10.82162,0.32303,0.83643
03_21_2024_W_L_Candy1_P_1,14.93013,0.53872,0.7358
04_04_2024_W_C_Boxes_P_2,5.62813,0.01179,1.04648
04_18_2024_W2_F_Mangoes1_F_1,14.61896,0.50322,0.80202
04_18_2024_W2_F_Pineapples1_F_1,12.80034,0.22704,0.73506
04_18_2024_W3_F_Nuts_P_2,6.27868,0.03046,1.01215
04_19_2024_W4_F_Gourds1_F_1,16.97154,0.57434,0.73076
04_04_2024_W2_C_AppleJuice_P_3,11.77527,0.41049,0.99313
04_19_2024_W_F_Coffee_P_2,12.69699,0.4167,0.91104
04_18_2024_W_F_Cucumbers1_V_1,13.77478,0.42968,0.74666
04_18_2024_W3_F_Chips3_P_2,11.17107,0.31937,0.85094
04_04_2024_W_C_PastaSauce3_P_2,17.37748,0.64463,0.63136
03_21_2024_W_L_BBQ1_P_1,5.85932,0.02215,1.02372
04_19_2024_S2_F_Greens2_V_1,13.05674,0.37102,0.80453
