folder,psnr,ssim,lpips
03_04_2024_S_L_ApplesLong_F_1,14.5595,0.41072,0.63115
03_04_2024_S_L_Apples_F_2,13.36783,0.37395,0.65831
03_04_2024_S_L_Bananas2_F_2,6.03224,0.01471,1.07093
03_04_2024_S_L_Bananas_F_2,13.44819,0.41518,0.70209
03_04_2024_S_L_ChipsSalsa2_P_1,7.37757,0.00805,0.88138
03_04_2024_S_L_ChipsSalsa_P_1,7.37757,0.00805,0.88138
03_04_2024_S_L_EnergyDrinks_P_1,6.87217,0.00956,1.02189
03_04_2024_S_L_Flowers_F_1,12.75189,0.3196,0.63987
03_04_2024_S_L_FruitsLong2_F_1,14.68538,0.42711,0.74793
03_04_2024_S_L_FruitsLong3_F_1,15.35808,0.38936,0.57288
03_04_2024_S_L_FruitsLong_F_1,11.86665,0.28131,0.72986
03_04_2024_S_L_Gatorade_P_2,14.13696,0.38185,0.75401
03_04_2024_S_L_Greens1_V_1,8.44314,0.0044,0.90581
03_04_2024_S_L_Greens2_V_1,13.55715,0.34703,0.67006
03_04_2024_S_L_Greens_V_2,15.58889,0.41017,0.57915
03_04_2024_S_L_Juices_P_2,13.93877,0.39916,0.66115
03_04_2024_S_L_Nuts_P_2,14.77851,0.35898,0.78889
03_04_2024_S_L_Onions1_V_1,12.62077,0.35511,0.70993
03_04_2024_S_L_Onions_V_2,13.30308,0.39441,0.6758
03_04_2024_S_L_Oranges_F_2,14.978,0.51934,0.71343
03_04_2024_S_L_Peppers1_V_1,15.97975,0.56659,0.50058
03_04_2024_S_L_Peppers_V_2,7.60364,0.00824,1.01735
03_04_2024_S_L_SparklingWater_P_1,6.27937,0.00396,1.04378
03_04_2024_S_L_Tomatoes_F_2,14.99197,0.42199,0.65413
03_04_2024_S_L_VeggiePackages_V_1,7.8015,0.00386,0.90876
03_07_2024_S_L_Apples1_F_1,15.54988,0.48766,0.5557
03_07_2024_S_L_Apples2_F_2,16.1832,0.52722,0.57683
03_07_2024_S_L_Apples3_F_2,6.53396,0.01301,1.05821
03_07_2024_S_L_Apples_F_2,13.45488,0.41932,0.67325
03_07_2024_S_L_ChipsSalsa1_P_1,7.36098,0.00824,0.90333
03_07_2024_S_L_Croutons_P_2,6.65882,0.00755,1.03947
03_07_2024_S_L_Exotic_F_2,11.82466,0.3403,0.7405
03_07_2024_S_L_GrapeFruits1_F_1,16.73813,0.54254,0.48629
03_07_2024_S_L_Nuts1_P_1,12.3406,0.31785,0.68759
03_07_2024_S_L_Onions1_V_1,13.97403,0.43464,0.61566
03_07_2024_S_L_Onions_V_2,13.21312,0.46266,0.66061
03_07_2024_S_L_OrangesLong1_F_1,12.98923,0.40619,0.72048
03_07_2024_S_L_Oranges_F_2,6.52177,0.06149,1.09449
03_07_2024_S_L_Organic1_F_1,16.3614,0.45395,0.52529
03_07_2024_S_L_Potatoes1_V_1,14.52193,0.32122,0.87074
03_07_2024_S_L_TomatoAvocado1_F_1,15.02706,0.36094,0.53135
03_07_2024_S_L_Various_V_2,12.70912,0.34502,0.69083
03_13_2024_S_Co_Apples_F_2,13.49904,0.39247,0.64104
03_13_2024_S_Co_Cabbages_V_2,13.92529,0.47501,0.62465
03_13_2024_S_Co_Tomatoes_V_2,14.39894,0.41655,0.66389
03_21_2024_W_L_Apples1_F_1,14.86762,0.42788,0.63454
03_21_2024_W_L_Apples2_F_2,12.97595,0.31808,0.58533
03_21_2024_W_L_Apples3_F_2,6.11143,0.02356,1.05761
03_21_2024_W_L_Apples_F_2,11.95371,0.37013,0.66005
03_21_2024_W_L_BBQ1_P_1,11.13458,0.31261,0.65095
03_21_2024_W_L_Bagels1_P_1,5.80329,0.00662,1.05436
03_21_2024_W_L_Candy1_P_1,13.17414,0.45894,0.6662
03_21_2024_W_L_Candy2_P_1,12.05125,0.43652,0.72415
