folder,psnr,ssim,lpips
03_04_2024_S_L_ChipsSalsa_P_1,7.37757,0.00805,0.88138
03_04_2024_S_L_Greens1_V_1,8.44314,0.0044,0.90581
03_07_2024_S_L_GrapeFruits1_F_1,16.73813,0.54254,0.48629
03_21_2024_W_L_Apples1_F_1,14.86762,0.42788,0.63454
03_21_2024_W_L_BBQ1_P_1,11.13458,0.31261,0.65095
03_21_2024_W_L_Cheese1_P_1,6.18501,0.01269,1.04161
03_21_2024_W_L_Coconuts1_F_1,5.76254,0.0183,1.00617
03_21_2024_W_L_EnergyDrinks1_P_1,13.23217,0.42978,0.67543
03_21_2024_W_L_Gourds1_F_1,15.43708,0.59443,0.60074
03_21_2024_W_L_Melons1_F_1,16.5802,0.53274,0.52999
03_21_2024_W_L_Nectarines1_F_1,14.73416,0.42353,0.64775
03_21_2024_W_L_Pears1_F_1,6.77451,0.03941,1.06799
03_21_2024_W_L_Pineapples1_F_1,6.33155,0.00472,1.03741
03_21_2024_W_L_Plantains1_F_1,13.97989,0.50904,0.63373
03_21_2024_W_L_Spices1_P_1,10.57247,0.28288,0.73662
04_04_2024_W2_C_Apples5_F_1,13.47749,0.41827,0.60763
04_04_2024_W2_C_ApplesLong1_F_1,11.98189,0.40307,0.69632
04_04_2024_W2_C_ApplesLong2_F_1,10.99076,0.29297,0.67425
04_04_2024_W2_C_Gourds1_V_1,12.10236,0.49767,0.67692
04_04_2024_W2_C_Grapefruits1_F_1,13.67922,0.41673,0.64782
04_04_2024_W2_C_Lemons1_F_1,14.97595,0.44486,0.62267
04_04_2024_W2_C_Mangoes1_F_1,13.88538,0.42542,0.61982
04_04_2024_W2_C_Melons1_F_1,14.2384,0.43055,0.58939
04_04_2024_W2_C_Plantains1_F_1,14.33116,0.49697,0.67633
04_04_2024_W2_C_Potatoes1_V_1,13.93138,0.45615,0.74547
04_04_2024_W2_C_Potatoes2_V_1,5.67081,0.01283,1.01615
04_04_2024_W2_C_PotatoesLong1_V_1,11.25807,0.41565,0.78602
04_04_2024_W2_C_Tomatoes1_F_1,13.81411,0.43595,0.66737
04_04_2024_W2_C_Tomatoes2_F_1,12.04162,0.36466,0.68909
04_04_2024_W_C_Apples1_F_1,6.32221,0.0129,1.07244
04_04_2024_W_C_Apples2_F_1,13.61755,0.43221,0.62351
04_04_2024_W_C_Apples3_F_1,14.18757,0.43402,0.6181
04_04_2024_W_C_Apples4_F_1,12.73505,0.35924,0.65968
04_04_2024_W_C_Avocados1_F_1,13.0058,0.31785,0.59401
04_04_2024_W_C_Cabbage1_V_1,14.11443,0.43213,0.7054
04_04_2024_W_C_Garlic1_V_1,15.47735,0.4615,0.46491
04_04_2024_W_C_Greens1_V_1,10.88092,0.24909,0.66795
04_04_2024_W_C_Greens3_V_1,13.30097,0.32241,0.5659
04_04_2024_W_C_Limes1_F_1,12.34339,0.33198,0.70403
04_04_2024_W_C_Mangoes1_F_1,12.3691,0.45917,0.68892
04_04_2024_W_C_Onions1_V_1,14.14312,0.50886,0.72324
04_04_2024_W_C_Onions2_V_1,14.36639,0.48927,0.66049
04_04_2024_W_C_Oranges1_F_1,14.6175,0.53719,0.65029
04_04_2024_W_C_Peppers1_F_1,12.83308,0.35938,0.6092
04_04_2024_W_C_Pineapples1_F_1,12.18664,0.24665,0.63237
04_04_2024_W_C_Tomatoes1_F_1,12.77168,0.36785,0.65652
04_04_2024_W_C_Tomatoes2_F_1,6.39908,0.02823,1.07235
04_18_2024_W2_F_Apples1_F_1,13.42242,0.34996,0.63007
04_18_2024_W2_F_Apples4_F_1,11.83615,0.3204,0.64926
04_18_2024_W2_F_Bread1_P_1,9.60173,0.2749,0.79072
04_18_2024_W2_F_Cans_P_2,5.94554,0.01662,1.04767
