folder,psnr,ssim,lpips
03_04_2024_S_L_ApplesLong_F_1,13.71226,0.40213,0.73862
03_04_2024_S_L_Apples_F_2,13.28191,0.38288,0.71398
03_04_2024_S_L_Bananas2_F_2,14.47765,0.43468,0.74557
03_04_2024_S_L_Bananas_F_2,13.19858,0.41935,0.78255
03_04_2024_S_L_ChipsSalsa2_P_1,7.37757,0.00805,0.88138
03_04_2024_S_L_ChipsSalsa_P_1,17.52791,0.65092,0.40888
03_04_2024_S_L_EnergyDrinks_P_1,6.87217,0.00956,1.02189
03_04_2024_S_L_Flowers_F_1,13.38079,0.34485,0.6738
03_04_2024_S_L_FruitsLong2_F_1,6.50141,0.04769,1.08646
03_04_2024_S_L_FruitsLong3_F_1,15.27662,0.39375,0.68203
03_04_2024_S_L_FruitsLong_F_1,11.92298,0.30112,0.79573
03_04_2024_S_L_Gatorade_P_2,14.24179,0.38522,0.75713
03_04_2024_S_L_Greens1_V_1,8.44314,0.0044,0.90581
03_04_2024_S_L_Greens2_V_1,14.36409,0.36436,0.67924
03_04_2024_S_L_Greens_V_2,14.87557,0.40168,0.70025
03_04_2024_S_L_Juices_P_2,13.28503,0.39763,0.80397
03_04_2024_S_L_Nuts_P_2,14.9798,0.3642,0.75452
03_04_2024_S_L_Onions1_V_1,13.81984,0.38785,0.71628
03_04_2024_S_L_Onions_V_2,13.60779,0.40165,0.69764
03_04_2024_S_L_Oranges_F_2,14.96438,0.51656,0.7114
03_04_2024_S_L_Peppers1_V_1,17.32274,0.61292,0.44947
03_04_2024_S_L_Peppers_V_2,7.60364,0.00824,1.01735
03_04_2024_S_L_SparklingWater_P_1,6.27937,0.00396,1.04378
03_04_2024_S_L_Tomatoes_F_2,14.65271,0.42183,0.72963
03_04_2024_S_L_VeggiePackages_V_1,16.0125,0.54265,0.50062
03_07_2024_S_L_Apples1_F_1,15.8404,0.50361,0.60672
03_07_2024_S_L_Apples2_F_2,16.67337,0.54003,0.60434
03_07_2024_S_L_Apples3_F_2,6.53396,0.01301,1.05821
03_07_2024_S_L_Apples_F_2,13.08395,0.42387,0.7272
03_07_2024_S_L_ChipsSalsa1_P_1,7.36098,0.00824,0.90333
03_07_2024_S_L_Croutons_P_2,6.65882,0.00755,1.03947
03_07_2024_S_L_Exotic_F_2,13.0152,0.38398,0.72035
03_07_2024_S_L_GrapeFruits1_F_1,6.32894,0.11752,1.08936
03_07_2024_S_L_Nuts1_P_1,12.00931,0.31617,0.72479
03_07_2024_S_L_Onions1_V_1,13.81477,0.44228,0.72855
03_07_2024_S_L_Onions_V_2,15.36465,0.53245,0.64108
03_07_2024_S_L_OrangesLong1_F_1,12.7083,0.41126,0.78275
03_07_2024_S_L_Oranges_F_2,6.52177,0.06149,1.09449
03_07_2024_S_L_Organic1_F_1,16.62246,0.46946,0.62816
03_07_2024_S_L_Potatoes1_V_1,14.95191,0.32586,0.74486
03_07_2024_S_L_TomatoAvocado1_F_1,15.34254,0.39496,0.62323
03_07_2024_S_L_Various_V_2,12.62103,0.33613,0.68832
03_13_2024_S_Co_Apples_F_2,14.10444,0.42607,0.66795
03_13_2024_S_Co_Cabbages_V_2,15.59246,0.50698,0.59283
