folder,psnr,ssim,lpips
04_04_2024_W_C_Salsa_P_3,6.48735,0.01996,1.00619
04_04_2024_W_C_Corn1_F_1,13.57664,0.45273,0.59075
04_18_2024_W3_F_Flour_P_2,5.67312,0.01539,1.02399
04_04_2024_W2_C_Chips2_P_3,6.26855,0.0071,1.06023
04_04_2024_W2_C_Mangoes1_F_1,13.16978,0.40832,0.62224
04_18_2024_W_F_Various_P_2,13.33836,0.498,0.87533
04_18_2024_W2_F_AppleJuice2_P_3,9.00188,0.16062,0.72283
04_04_2024_W_C_Greens1_V_1,10.95047,0.32828,0.98254
04_19_2024_S2_F_Spices_P_3,11.59105,0.30055,0.65543
04_18_2024_W2_F_Oil_P_3,9.65635,0.25287,0.72621
04_18_2024_W3_F_Sauce1_P_1,10.06344,0.19161,0.75684
04_18_2024_W_F_Oranges1_F_1,5.65073,0.06951,1.05482
04_18_2024_W2_F_Potatoes1_V_1,14.63493,0.39066,0.62836
04_04_2024_S_C_Mayo_P_2,13.10724,0.42852,0.74844
04_04_2024_S_C_Lemons1_F_1,6.69749,0.0429,1.02657
03_21_2024_W_L_PastaSauce1_P_1,6.32293,0.02101,1.04496
04_04_2024_W_C_Apples3_F_1,17.77085,0.5928,0.38819
04_18_2024_W3_F_Avacados1_F_1,13.23521,0.50249,0.85188
04_19_2024_W_F_Bread_P_2,12.4901,0.39039,0.64922
03_21_2024_W_L_Cantaloupes_F_2,4.28278,0.01214,0.99794
04_19_2024_W4_F_Juices_P_3,10.70008,0.20068,0.65964
04_19_2024_S2_F_Onions3_V_1,5.84251,0.00789,1.02707
04_19_2024_S2_F_Vinegar_P_3,10.5746,0.28607,0.67275
04_18_2024_W_F_MacAndCheese1_P_1,5.67619,0.01127,1.07217
04_18_2024_W3_F_Cereal_P_2,5.68787,0.01091,1.03756
04_04_2024_W_C_Sugar_P_2,6.45969,0.00494,1.03654
04_04_2024_W2_C_PotatoesLong1_V_1,5.9611,0.01363,0.98721
04_18_2024_W_F_Chips2_P_3,11.06547,0.19065,0.67045
04_04_2024_S_C_Sauce_P_3,6.00581,0.02332,1.04909
04_18_2024_W_F_Cans3_P_2,13.38989,0.43207,0.67285
03_07_2024_S_L_OrangesLong1_F_1,13.25748,0.42446,0.91878
04_18_2024_W3_F_Pears1_F_1,6.35187,0.00847,1.06706
