folder,psnr,ssim,lpips
04_19_2024_S2_F_Juice1_P_1,5.99426,0.00344,0.94352
04_18_2024_W3_F_Peppers1_F_1,13.5943,0.29678,0.48362
04_18_2024_W_F_Syrup1_P_1,9.94002,0.12405,0.56267
03_21_2024_W_L_Chips1_P_1,12.52606,0.20774,0.57806
04_18_2024_W3_F_Juice_P_3,9.14981,0.07853,0.63369
04_04_2024_S_C_Pears1_F_1,14.47516,0.40237,0.40029
04_18_2024_W_F_PeanutButter_P_3,8.98786,0.07012,0.64813
03_04_2024_S_L_SparklingWater_P_1,6.41707,0.00065,1.00077
04_18_2024_W3_F_Flour_P_2,9.98509,0.12688,0.6349
04_19_2024_S2_F_PastaSauce_P_2,10.21041,0.15049,0.73319
04_18_2024_W_F_Pickles_P_2,10.24323,0.12134,0.63709
04_18_2024_W3_F_Chips_P_2,11.51672,0.13079,0.62538
04_04_2024_W_C_Apples3_F_1,13.57214,0.27246,0.48893
04_04_2024_W_C_Ketchup_P_3,9.12999,0.07077,0.62949
04_19_2024_S2_F_Drinks_P_2,9.55876,0.08723,0.6526
04_18_2024_W2_F_Pears1_F_1,14.37103,0.31598,0.41265
04_04_2024_W_C_Coffee_P_2,6.22486,0.00868,0.95877
04_18_2024_W_F_Asparagus1_V_1,12.81114,0.14482,0.52737
03_04_2024_S_L_Onions1_V_1,12.65624,0.21242,0.54807
04_18_2024_W_F_Cans6_P_2,5.97722,0.00132,0.96652
04_04_2024_W_C_Sauce_P_3,10.42032,0.10711,0.64139
03_04_2024_S_L_Nuts_P_2,15.05825,0.27739,0.54382
04_18_2024_W2_F_Oranges1_F_1,13.42777,0.23342,0.51115
04_19_2024_W4_F_Apples1_F_1,12.34718,0.20871,0.81847
04_18_2024_W2_F_AppleJuice_P_3,8.94232,0.0887,0.67418
04_18_2024_W3_F_Chilli_P_3,8.93527,0.06341,0.64278
03_04_2024_S_L_ApplesLong_F_1,13.6339,0.22104,0.53113
03_21_2024_W_L_Candy2_P_2,13.02845,0.222,0.52924
04_04_2024_W_C_GranolaBars3_P_2,12.10436,0.17439,0.60455
04_18_2024_W_F_PastaSauce5_P_2,null,null,null
03_21_2024_W_L_Oil1_P_1,null,null,null
04_04_2024_W2_C_Tomatoes2_F_1,12.04496,0.15067,0.52086
04_18_2024_W3_F_Apples2_F_1,12.65898,0.13566,0.50395
04_04_2024_W2_C_Chips_P_3,6.67481,0.00411,0.95864
04_18_2024_W_F_Mangoes1_F_1,15.79702,0.43645,0.38897
04_18_2024_W3_F_BBQSauce_P_3,8.94129,0.0588,0.6365
03_21_2024_W_L_Melons1_F_1,16.33899,0.47713,0.41052
04_18_2024_W_F_RedOnions1_V_1,12.04602,0.15292,0.48541
04_19_2024_S2_F_Juice2_P_1,10.13812,0.08008,0.62616
04_18_2024_W2_F_Cans3_P_2,null,null,null
04_04_2024_W_C_Ranch_P_3,9.35608,0.07499,0.61812
04_18_2024_W2_F_Apples3_F_1,14.30005,0.32403,0.47607
04_19_2024_S2_F_Chips_P_3,9.65827,0.07466,0.63306
04_18_2024_W3_F_CanFruits_P_3,5.95069,0.00745,0.74476
04_04_2024_W2_C_PeanutButter_P_3,10.08136,0.09774,0.6055
04_19_2024_W4_F_Chips_P_3,null,null,null
03_21_2024_W_L_Cucumbers_F_2,9.94023,0.08162,0.58904
04_18_2024_W2_F_Cans2_P_2,null,null,null
04_19_2024_S2_F_Oranges1_F_1,12.17926,0.19529,0.54496
03_07_2024_S_L_Apples3_F_2,null,null,null
03_21_2024_W_L_Pears1_F_1,6.81291,0.01675,0.94212
04_04_2024_W2_C_Alfredo_P_3,null,null,null
04_19_2024_S2_F_Apples2_F_1,13.21499,0.18521,0.59748
04_18_2024_W2_F_Coffee2_P_3,6.40162,0.02695,0.96669
03_21_2024_W_L_Radish_V_2,12.91042,0.26791,0.47947
04_19_2024_S2_F_Onions2_V_1,11.18958,0.19673,0.61319
04_04_2024_W2_C_PastaSauce_P_2,6.53496,0.01406,0.95912
04_04_2024_W2_C_Cans_P_2,12.4582,0.22296,0.58205
04_04_2024_W_C_GranolaBars2_P_2,10.46007,0.11971,0.66057
04_18_2024_W2_F_HotSauce1_P_1,10.89863,0.15602,0.57576
04_04_2024_W_C_Coffee4_P_2,6.29292,0.00658,0.94379
04_18_2024_W2_F_Radish1_V_1,13.82319,0.22187,0.49269
04_19_2024_W_F_Oils_P_2,null,null,null
04_19_2024_W4_F_Pears1_F_1,11.41407,0.15326,0.58351
03_07_2024_S_L_Various_V_2,13.35099,0.24393,0.50014
04_04_2024_W2_C_Potatoes1_V_1,14.31307,0.19887,0.50464
04_04_2024_W_C_Onions1_V_1,14.78348,0.31315,0.47987
04_18_2024_W2_F_Mangoes1_F_1,12.57552,0.1765,0.51114
04_19_2024_S2_F_Mayo_P_2,null,null,null
03_21_2024_W_L_Pastasauce_P_2,12.08679,0.19835,0.61253
04_19_2024_W4_F_Nectarines1_F_1,13.52213,0.23155,0.45958
04_18_2024_W3_F_HotSauce_P_3,6.16184,0.0074,0.95119
04_18_2024_W2_F_AppleSauce1_P_1,9.30697,0.0799,0.649
03_04_2024_S_L_FruitsLong_F_1,12.18942,0.13191,0.58554
04_04_2024_W2_C_Candy_P_3,11.41267,0.13789,0.68756
04_04_2024_W_C_Sugar_P_2,5.89979,0.00215,0.95332
04_04_2024_W2_C_Bread3_P_2,6.50091,0.00438,0.95246
