folder,psnr,ssim,lpips
03_04_2024_S_L_ApplesLong_F_1,12.84082,0.31786,0.75461
03_04_2024_S_L_Apples_F_2,12.23845,0.31765,0.79729
03_04_2024_S_L_Bananas2_F_2,12.65763,0.31447,0.73704
03_04_2024_S_L_Bananas_F_2,12.02016,0.32022,0.81556
03_04_2024_S_L_ChipsSalsa2_P_1,14.2078,0.29795,0.5957
03_04_2024_S_L_ChipsSalsa_P_1,14.15706,0.28928,0.60504
03_04_2024_S_L_EnergyDrinks_P_1,11.45792,0.2042,0.70855
03_04_2024_S_L_FruitsLong2_F_1,12.57815,0.29044,0.78326
03_04_2024_S_L_FruitsLong3_F_1,12.76121,0.27936,0.72379
03_04_2024_S_L_FruitsLong_F_1,12.16082,0.25397,0.80314
03_04_2024_S_L_Gatorade_P_2,12.17484,0.26335,0.77548
03_04_2024_S_L_Greens1_V_1,13.53414,0.23404,0.67524
03_04_2024_S_L_Greens2_V_1,12.71089,0.26606,0.73814
03_04_2024_S_L_Greens_V_2,13.28452,0.3053,0.73091
03_04_2024_S_L_Juices_P_2,12.17302,0.27749,0.76269
03_04_2024_S_L_Nuts_P_2,13.31864,0.24388,0.7661
03_04_2024_S_L_Onions1_V_1,12.28776,0.3064,0.76016
03_04_2024_S_L_Onions_V_2,11.88415,0.31456,0.81149
03_04_2024_S_L_Oranges_F_2,12.99086,0.40308,0.80059
03_04_2024_S_L_Peppers1_V_1,12.93121,0.27966,0.73245
03_04_2024_S_L_Peppers_V_2,13.32031,0.31462,0.77575
03_04_2024_S_L_SparklingWater_P_1,12.98385,0.2552,0.74097
03_04_2024_S_L_Tomatoes_F_2,12.27508,0.29918,0.72852
03_04_2024_S_L_VeggiePackages_V_1,12.72189,0.24645,0.7167
03_07_2024_S_L_Apples1_F_1,12.96988,0.31465,0.64964
03_07_2024_S_L_Apples2_F_2,12.74575,0.37936,0.73929
03_07_2024_S_L_Apples3_F_2,11.54155,0.34516,0.82951
