folder,psnr,ssim,lpips
04_04_2024_W_C_Salsa_P_3,10.86447,0.24952,0.78362
04_04_2024_W_C_Corn1_F_1,11.97339,0.34639,0.71686
04_18_2024_W3_F_Flour_P_2,11.59353,0.2466,0.77329
04_04_2024_W2_C_Chips2_P_3,11.80022,0.16772,0.77299
04_04_2024_W2_C_Mangoes1_F_1,10.79567,0.26907,0.7535
04_18_2024_W_F_Various_P_2,12.16908,0.28711,0.71917
04_18_2024_W2_F_AppleJuice2_P_3,9.83976,0.15247,0.77124
04_04_2024_W_C_Greens1_V_1,12.11327,0.2185,0.77975
04_19_2024_S2_F_Spices_P_3,10.16697,0.26465,0.83436
04_18_2024_W2_F_Oil_P_3,10.55177,0.28515,0.78555
04_18_2024_W3_F_Sauce1_P_1,10.17462,0.17922,0.80729
04_18_2024_W_F_Oranges1_F_1,13.89225,0.45953,0.62614
04_18_2024_W2_F_Potatoes1_V_1,11.00041,0.32256,0.76
04_04_2024_S_C_Mayo_P_2,12.59945,0.30754,0.71077
04_04_2024_S_C_Lemons1_F_1,15.34364,0.52779,0.50736
03_21_2024_W_L_PastaSauce1_P_1,10.86812,0.23747,0.76795
04_04_2024_W_C_Apples3_F_1,15.14165,0.48471,0.44822
04_18_2024_W3_F_Avacados1_F_1,11.98068,0.34611,0.70429
04_19_2024_W_F_Bread_P_2,12.44295,0.37725,0.73427
03_21_2024_W_L_Cantaloupes_F_2,14.56918,0.33466,0.63586
04_19_2024_W4_F_Juices_P_3,11.93578,0.21188,0.78449
04_19_2024_S2_F_Onions3_V_1,12.18453,0.32257,0.6981
04_19_2024_S2_F_Vinegar_P_3,11.00786,0.26365,0.80193
04_18_2024_W_F_MacAndCheese1_P_1,11.39335,0.21409,0.77612
04_18_2024_W3_F_Cereal_P_2,9.44123,0.18963,0.85879
04_04_2024_W_C_Sugar_P_2,12.32704,0.24787,0.74698
04_04_2024_W2_C_PotatoesLong1_V_1,12.38534,0.37034,0.66598
04_18_2024_W_F_Chips2_P_3,10.39528,0.1857,0.8131
04_04_2024_S_C_Sauce_P_3,9.80275,0.18782,0.82039
04_18_2024_W_F_Cans3_P_2,12.62699,0.36692,0.7983
03_07_2024_S_L_OrangesLong1_F_1,12.36408,0.29985,0.76838
04_18_2024_W3_F_Pears1_F_1,16.52551,0.47225,0.49651
03_04_2024_S_L_ChipsSalsa2_P_1,15.75936,0.40538,0.27467
03_04_2024_S_L_Nuts_P_2,13.87554,0.27049,0.55956
03_04_2024_S_L_Apples_F_2,11.93734,0.25046,0.74181
04_04_2024_S_C_Various2_V_2,12.48997,0.24878,0.7191
04_18_2024_W2_F_Apples3_F_1,16.31144,0.52816,0.34312
04_18_2024_W_F_Jam_P_3,9.77185,0.16741,0.88272
04_04_2024_W2_C_Chips4_P_3,12.7499,0.2112,0.72539
04_19_2024_S2_F_Greens1_V_1,12.46226,0.29112,0.73827
04_04_2024_W_C_Ketchup_P_3,10.28524,0.21163,0.80328
03_21_2024_W_L_Cookies1_P_1,12.58202,0.32362,0.72274
04_18_2024_W2_F_Apples4_F_1,12.13714,0.38957,0.64701
04_18_2024_W2_F_Coffee_P_3,10.36246,0.27891,0.82204
03_21_2024_W_L_Peppers_F_2,12.83588,0.4338,0.63719
04_04_2024_S_C_Apples2_F_1,14.4763,0.53959,0.53078
04_18_2024_W_F_Oil_P_3,10.78209,0.20254,0.80627
04_18_2024_W2_F_Candy2_P_2,10.49261,0.17844,0.80542
04_04_2024_W_C_Coffee3_P_2,11.72562,0.27641,0.72332
04_18_2024_W2_F_PeanutButter_P_3,10.08016,0.22717,0.83626
04_04_2024_W_C_Tomatoes2_F_1,14.72372,0.50963,0.42354
04_18_2024_W_F_Coconuts1_F_1,10.41315,0.23509,0.81302
03_04_2024_S_L_Greens1_V_1,14.97324,0.33254,0.26179
04_19_2024_S2_F_Oranges1_F_1,13.28559,0.39042,0.75225
03_21_2024_W_L_Spices1_P_1,11.81633,0.24053,0.57729
04_04_2024_S_C_Cantaloupe_F_2,16.61213,0.52557,0.60894
04_04_2024_W_C_Coffee2_P_2,11.92876,0.20654,0.66448
04_04_2024_W2_C_Bananas2_F_1,12.22629,0.39022,0.62777
04_04_2024_W_C_GranolaBars2_P_2,11.53465,0.2588,0.743
04_18_2024_W_F_Spices_P_3,9.96129,0.39245,0.9568
04_04_2024_W_C_Snacks2_P_2,10.80668,0.20082,0.71687
04_19_2024_S2_F_Chips2_P_3,null,null,null
04_19_2024_S2_F_Avacados1_F_1,11.85494,0.27052,0.68917
03_21_2024_W_L_Pickles1_P_1,11.35085,0.2368,0.7282
04_04_2024_W_C_Oranges1_F_1,13.61399,0.48659,0.59064
04_04_2024_W2_C_SourCream_P_3,10.97227,0.25484,0.82908
04_18_2024_W3_F_Candy3_P_2,10.43735,0.19997,0.81873
04_04_2024_W2_C_Potatoes1_V_1,15.40597,0.4359,0.61639
04_18_2024_W2_F_TomatoCans1_P_1,10.47979,0.17454,0.87258
04_18_2024_W3_F_CanSoup2_P_3,11.32055,0.27001,0.82409
04_18_2024_W2_F_OliveOil_P_3,9.8115,0.24909,0.76022
03_21_2024_W_L_Chips_P_2,12.39021,0.22872,0.61228
04_18_2024_W_F_Candy_P_3,9.03203,0.2026,0.80454
04_04_2024_W_C_Mangoes2_F_1,16.27749,0.44137,0.33654
04_19_2024_S2_F_Onions1_V_1,11.6342,0.33755,0.73444
04_04_2024_S_C_Coffee2_P_3,10.86092,0.1952,0.79631
04_18_2024_W_F_Apples4_F_1,13.66476,0.4399,0.55676
04_19_2024_S2_F_Melons1_F_1,11.67518,0.43079,0.8276
04_19_2024_S2_F_Salsa_P_2,9.76022,0.13257,0.7873
04_04_2024_W_C_Coffee_P_2,14.32369,0.32186,0.61827
04_04_2024_W_C_CannedPeas_P_3,11.97569,0.21103,0.77015
04_18_2024_W3_F_Alfredo1_P_1,9.59033,0.22312,0.81586
04_18_2024_W3_F_Tomatoes1_F_1,13.70902,0.36411,0.64275
