subcategory,folder_count_subcat,psnr,ssim,lpips
Dressings,2,9.690,0.231,0.862
Drinks,3,10.720,0.282,0.815
Bread,12,10.685,0.244,0.830
Can,17,10.523,0.244,0.828
Flour,7,10.922,0.313,0.839
AppleJuice,4,9.866,0.235,0.882
Vinegar,3,10.080,0.258,0.876
Beans,4,10.081,0.243,0.903
Cereal,2,10.199,0.261,0.816
Jam,4,9.781,0.193,0.869
Gatorade,3,10.608,0.232,0.837
Salsa,8,10.691,0.227,0.811
Spices,8,10.031,0.248,0.848
Ketchup,6,9.719,0.250,0.847
Nuts,6,10.765,0.257,0.803
GranolaBars,3,11.147,0.286,0.807
Greens,16,11.336,0.263,0.780
BBQSauce,5,9.619,0.222,0.845
Candy,17,10.126,0.254,0.852
EnergyDrinks,4,10.702,0.240,0.802
Mayo,4,10.440,0.250,0.864
OliveOil,3,9.552,0.244,0.875
Snacks,4,10.920,0.261,0.836
PeanutButter,6,9.948,0.248,0.868
Syrup,3,10.184,0.252,0.775
Buns,2,9.953,0.240,0.856
Pringles,2,9.213,0.241,0.870
Sauce,12,9.931,0.222,0.854
Soup,4,10.032,0.192,0.914
Chips,34,10.477,0.227,0.856
Alfredo,2,10.020,0.233,0.874
ChipsSalsa,2,10.298,0.224,0.874
FruitCans,2,9.997,0.214,0.875
Bagels,3,10.927,0.237,0.850
Tomato,5,10.200,0.203,0.882
Juices,8,10.657,0.228,0.810
Honey,2,10.006,0.271,0.811
Chilli,2,9.886,0.246,0.886
Sugar,7,10.379,0.289,0.855
Tostitos,2,10.233,0.191,0.900
Tea,2,9.913,0.274,0.859
Ranch,9,10.317,0.244,0.833
PastaSauce,12,10.849,0.278,0.828
Oil,14,10.167,0.248,0.824
Pickles,8,10.050,0.237,0.872
Coffee,18,10.455,0.278,0.842
Apples,42,11.949,0.337,0.767
Lemons,8,12.624,0.350,0.746
Mangoes,6,12.655,0.374,0.738
Melons,16,12.168,0.391,0.762
Pineapples,7,11.576,0.213,0.815
GrapeFruits,6,12.500,0.380,0.728
Avacados,6,11.274,0.249,0.784
Bananas,15,11.792,0.349,0.776
Orange,13,12.563,0.376,0.769
MultiFruits,7,11.887,0.282,0.792
Plums,2,10.897,0.280,0.788
Lime,3,11.584,0.290,0.795
Coconuts,2,12.216,0.427,0.756
Pears,6,12.190,0.365,0.744
Nectarines,5,12.174,0.328,0.790
VariousVeggies,7,11.492,0.301,0.808
Onions,21,11.829,0.352,0.764
Potatoes,11,11.746,0.349,0.770
Plantains,5,12.853,0.416,0.736
Gourds,5,11.630,0.428,0.761
Tomatoes,16,12.078,0.309,0.754
Garlic,2,13.543,0.400,0.631
Corn,3,11.746,0.270,0.818
Peppers,14,11.751,0.279,0.795
Cucumbers,7,10.945,0.251,0.810
Radish,2,11.785,0.270,0.733
Cabbages,2,12.139,0.346,0.729
Broccoli,2,12.471,0.253,0.783
