folder,psnr,ssim,lpips
04_19_2024_S2_F_Juice1_P_1,9.49079,0.12537,0.80065
04_18_2024_W3_F_Peppers1_F_1,11.31095,0.21319,0.68132
04_18_2024_W_F_Syrup1_P_1,9.89045,0.16719,0.68744
03_21_2024_W_L_Chips1_P_1,11.90333,0.19456,0.66613
04_18_2024_W3_F_Juice_P_3,9.76725,0.12105,0.81583
04_04_2024_S_C_Pears1_F_1,12.00209,0.32153,0.74662
04_18_2024_W_F_PeanutButter_P_3,9.55518,0.11021,0.80412
03_04_2024_S_L_SparklingWater_P_1,13.25855,0.19376,0.56233
04_18_2024_W3_F_Flour_P_2,10.2126,0.21109,0.76596
04_19_2024_S2_F_PastaSauce_P_2,10.7682,0.12341,0.82899
04_18_2024_W_F_Pickles_P_2,10.63082,0.17775,0.76949
04_18_2024_W3_F_Chips_P_2,10.3979,0.13307,0.72067
04_04_2024_W_C_Apples3_F_1,12.80033,0.23985,0.52778
04_04_2024_W_C_Ketchup_P_3,9.40156,0.12426,0.7797
04_19_2024_S2_F_Drinks_P_2,10.52526,0.1508,0.78812
04_18_2024_W2_F_Pears1_F_1,13.09857,0.24596,0.5379
04_04_2024_W_C_Coffee_P_2,11.84236,0.22721,0.62619
04_18_2024_W_F_Asparagus1_V_1,12.1651,0.14731,0.68668
03_04_2024_S_L_Onions1_V_1,12.2407,0.22666,0.65622
04_18_2024_W_F_Cans6_P_2,10.84717,0.13131,0.69568
04_04_2024_W_C_Sauce_P_3,9.81196,0.13993,0.76245
03_04_2024_S_L_Nuts_P_2,13.29736,0.17975,0.62636
04_18_2024_W2_F_Oranges1_F_1,12.81624,0.24109,0.64697
04_19_2024_W4_F_Apples1_F_1,10.5789,0.20814,0.75775
04_18_2024_W2_F_AppleJuice_P_3,10.05021,0.15719,0.83018
04_18_2024_W3_F_Chilli_P_3,9.27864,0.10268,0.80018
03_04_2024_S_L_ApplesLong_F_1,12.94324,0.21747,0.61788
03_21_2024_W_L_Candy2_P_2,10.76531,0.14985,0.68314
04_04_2024_W_C_GranolaBars3_P_2,11.70747,0.19389,0.68776
04_18_2024_W_F_PastaSauce5_P_2,10.21747,0.11473,0.76833
03_21_2024_W_L_Oil1_P_1,10.01476,0.09973,0.67852
04_04_2024_W2_C_Tomatoes2_F_1,12.07551,0.19938,0.67129
04_18_2024_W3_F_Apples2_F_1,11.70787,0.17891,0.66182
04_04_2024_W2_C_Chips_P_3,9.73733,0.12323,0.78657
04_18_2024_W_F_Mangoes1_F_1,13.33592,0.27884,0.50553
04_18_2024_W3_F_BBQSauce_P_3,8.76151,0.0946,0.78033
03_21_2024_W_L_Melons1_F_1,13.0249,0.32898,0.53757
04_18_2024_W_F_RedOnions1_V_1,11.8051,0.18818,0.64303
04_19_2024_S2_F_Juice2_P_1,10.16366,0.10096,0.77228
04_18_2024_W2_F_Cans3_P_2,10.51511,0.16865,0.71299
04_04_2024_W_C_Ranch_P_3,10.12545,0.12365,0.79104
04_18_2024_W2_F_Apples3_F_1,12.07383,0.26357,0.61727
04_19_2024_S2_F_Chips_P_3,10.66296,0.12487,0.8228
04_18_2024_W3_F_CanFruits_P_3,10.21639,0.11393,0.83438
04_04_2024_W2_C_PeanutButter_P_3,10.17699,0.15838,0.7994
04_19_2024_W4_F_Chips_P_3,10.56547,0.17134,0.8582
03_21_2024_W_L_Cucumbers_F_2,11.06043,0.16921,0.69844
04_18_2024_W2_F_Cans2_P_2,10.50237,0.14057,0.76728
04_19_2024_S2_F_Oranges1_F_1,11.98414,0.23497,0.67925
03_07_2024_S_L_Apples3_F_2,11.5082,0.22803,0.7512
03_21_2024_W_L_Pears1_F_1,12.43809,0.23421,0.5793
04_04_2024_W2_C_Alfredo_P_3,10.17239,0.1465,0.78629
04_19_2024_S2_F_Apples2_F_1,11.45944,0.19696,0.69277
04_18_2024_W2_F_Coffee2_P_3,9.6971,0.1338,0.81409
03_21_2024_W_L_Radish_V_2,12.05912,0.20979,0.55652
04_19_2024_S2_F_Onions2_V_1,11.08173,0.23376,0.68377
04_04_2024_W2_C_PastaSauce_P_2,10.38066,0.14849,0.83188
04_04_2024_W2_C_Cans_P_2,11.096,0.25086,0.78328
04_04_2024_W_C_GranolaBars2_P_2,10.81888,0.15569,0.7643
04_18_2024_W2_F_HotSauce1_P_1,10.07508,0.15345,0.736
04_04_2024_W_C_Coffee4_P_2,10.33048,0.16779,0.73905
04_18_2024_W2_F_Radish1_V_1,11.36793,0.14991,0.65757
04_19_2024_W_F_Oils_P_2,12.00293,0.15165,0.54021
04_19_2024_W4_F_Pears1_F_1,10.54394,0.20523,0.75744
03_07_2024_S_L_Various_V_2,13.39724,0.2476,0.49614
04_04_2024_W2_C_Potatoes1_V_1,12.38736,0.25127,0.68505
04_04_2024_W_C_Onions1_V_1,12.62023,0.27081,0.6161
04_18_2024_W2_F_Mangoes1_F_1,12.25625,0.23047,0.65873
04_19_2024_S2_F_Mayo_P_2,10.29344,0.12277,0.75243
03_21_2024_W_L_Pastasauce_P_2,10.35354,0.14869,0.67615
04_19_2024_W4_F_Nectarines1_F_1,11.96957,0.20432,0.66523
04_18_2024_W3_F_HotSauce_P_3,9.18745,0.12754,0.80628
04_18_2024_W2_F_AppleSauce1_P_1,9.82413,0.14265,0.78627
03_04_2024_S_L_FruitsLong_F_1,12.11133,0.15124,0.6778
04_04_2024_W2_C_Candy_P_3,10.41431,0.1746,0.79851
04_04_2024_W_C_Sugar_P_2,12.15888,0.23067,0.62646
04_04_2024_W2_C_Bread3_P_2,12.22091,0.19201,0.62149
04_18_2024_W_F_Apples2_F_1,12.10015,0.22224,0.65329
04_18_2024_W2_F_Cucumbers1_V_1,10.2076,0.10001,0.70694
04_18_2024_W2_F_Nuts_P_2,9.58203,0.12512,0.75956
04_19_2024_W4_F_Greens2_V_1,10.72976,0.15269,0.7237
04_18_2024_W3_F_Limes1_F_1,10.72536,0.16956,0.68892
04_18_2024_W3_F_Oils_P_2,9.60837,0.14662,0.72897
04_04_2024_W2_C_Melons1_F_1,11.83545,0.27138,0.68017
04_18_2024_W3_F_Lemons1_F_1,12.53936,0.19148,0.62723
03_21_2024_W_L_Cookies1_P_1,12.02788,0.19239,0.64791
04_18_2024_W_F_Garlic1_V_1,12.23933,0.26732,0.57074
03_21_2024_W_L_Onions_V_2,11.99609,0.32662,0.67772
04_18_2024_W_F_Bread_P_3,10.39778,0.10838,0.81309
04_04_2024_S_C_Chips_P_2,10.81194,0.14092,0.72825
03_21_2024_W_L_Cereal1_P_1,11.19057,0.17784,0.59782
04_04_2024_W2_C_Apples5_F_1,11.54966,0.17987,0.64708
04_04_2024_W2_C_Grapefruits1_F_1,12.3034,0.25892,0.65269
04_04_2024_W2_C_Candy2_P_3,10.93839,0.12344,0.85103
04_04_2024_W2_C_ApplesLong1_F_1,10.46795,0.21906,0.76282
04_04_2024_W_C_PastaSauce_P_2,11.62823,0.25258,0.60656
