scene_folder_name, images_count
03_04_2024_S_L_ApplesLong_F_1,261
03_04_2024_S_L_Apples_F_2,243
03_04_2024_S_L_Bananas2_F_2,226
03_04_2024_S_L_Bananas_F_2,265
03_04_2024_S_L_ChipsSalsa2_P_1,142
03_04_2024_S_L_ChipsSalsa_P_1,142
03_04_2024_S_L_EnergyDrinks_P_1,326
03_04_2024_S_L_Flowers_F_1,271
03_04_2024_S_L_FruitsLong2_F_1,296
03_04_2024_S_L_FruitsLong3_F_1,284
03_04_2024_S_L_FruitsLong_F_1,283
03_04_2024_S_L_Gatorade_P_2,290
03_04_2024_S_L_Greens1_V_1,316
03_04_2024_S_L_Greens2_V_1,244
03_04_2024_S_L_Greens_V_2,255
03_04_2024_S_L_Juices_P_2,278
03_04_2024_S_L_Nuts_P_2,314
03_04_2024_S_L_Onions1_V_1,267
03_04_2024_S_L_Onions_V_2,228
03_04_2024_S_L_Oranges_F_2,254
03_04_2024_S_L_Peppers1_V_1,219
03_04_2024_S_L_Peppers_V_2,249
03_04_2024_S_L_SparklingWater_P_1,213
03_04_2024_S_L_Tomatoes_F_2,315
03_04_2024_S_L_VeggiePackages_V_1,307
03_07_2024_S_L_Apples1_F_1,235
03_07_2024_S_L_Apples2_F_2,274
03_07_2024_S_L_Apples3_F_2,283
03_07_2024_S_L_Apples_F_2,221
03_07_2024_S_L_ChipsSalsa1_P_1,244
03_07_2024_S_L_Croutons_P_2,313
03_07_2024_S_L_Exotic_F_2,226
03_07_2024_S_L_GrapeFruits1_F_1,235
03_07_2024_S_L_Nuts1_P_1,283
03_07_2024_S_L_Onions1_V_1,267
03_07_2024_S_L_Onions_V_2,253
03_07_2024_S_L_OrangesLong1_F_1,300
03_07_2024_S_L_Oranges_F_2,234
03_07_2024_S_L_Organic1_F_1,317
03_07_2024_S_L_Potatoes1_V_1,240
03_07_2024_S_L_TomatoAvocado1_F_1,196
03_07_2024_S_L_Various_V_2,213
03_13_2024_S_Co_Apples_F_2,270
03_13_2024_S_Co_Cabbages_V_2,325
03_13_2024_S_Co_Tomatoes_V_2,319
03_21_2024_W_L_Apples1_F_1,279
03_21_2024_W_L_Apples2_F_2,263
03_21_2024_W_L_Apples3_F_2,256
03_21_2024_W_L_Apples_F_2,243
03_21_2024_W_L_BBQ1_P_1,285
03_21_2024_W_L_Bagels1_P_1,240
03_21_2024_W_L_Candy1_P_1,293
03_21_2024_W_L_Candy2_P_1,265
03_21_2024_W_L_Candy2_P_2,221
03_21_2024_W_L_Candy_P_2,210
03_21_2024_W_L_Cans_P_2,285
03_21_2024_W_L_Cantaloupes_F_2,270
03_21_2024_W_L_Cereal1_P_1,281
03_21_2024_W_L_Cheese1_P_1,247
03_21_2024_W_L_Chips1_P_1,245
03_21_2024_W_L_Chips_P_2,263
03_21_2024_W_L_Coconuts1_F_1,327
03_21_2024_W_L_Coffee1_P_1,233
03_21_2024_W_L_Coffee2_P_2,320
03_21_2024_W_L_Coffee_P_2,226
03_21_2024_W_L_Cookies1_P_1,239
03_21_2024_W_L_Cucumbers_F_2,307
03_21_2024_W_L_Drinks_P_2,262
03_21_2024_W_L_EnergyDrinks1_P_1,253
03_21_2024_W_L_Gourds1_F_1,230
03_21_2024_W_L_Honey1_P_1,248
03_21_2024_W_L_Jam1_P_1,229
03_21_2024_W_L_Melons1_F_1,244
03_21_2024_W_L_Nectarines1_F_1,279
03_21_2024_W_L_Nectarines2_F_1,255
03_21_2024_W_L_Nuts1_P_1,248
03_21_2024_W_L_Oil1_P_1,283
03_21_2024_W_L_Onions_V_2,249
03_21_2024_W_L_PastaSauce1_P_1,286
03_21_2024_W_L_Pastasauce_P_2,243
03_21_2024_W_L_Pears1_F_1,269
03_21_2024_W_L_Pears_F_2,332
03_21_2024_W_L_Peas1_P_1,247
03_21_2024_W_L_Peppers_F_2,246
03_21_2024_W_L_Pickles1_P_1,276
03_21_2024_W_L_Pineapples1_F_1,229
03_21_2024_W_L_Plantains1_F_1,319
03_21_2024_W_L_Potatoes_V_2,226
03_21_2024_W_L_Radish_V_2,214
03_21_2024_W_L_Ranch1_P_1,264
03_21_2024_W_L_Ranch_P_2,280
03_21_2024_W_L_Spices1_P_1,271
03_21_2024_W_L_Syrup1_P_1,224
03_21_2024_W_L_Syrup_P_2,278
03_21_2024_W_L_Tomatoes_F_2,259
04_04_2024_NG_C_Bananas1_F_1,255
04_04_2024_NG_C_Broth_P_2,300
04_04_2024_NG_C_Chips_P_2,301
04_04_2024_NG_C_Fruits1_F_1,301
04_04_2024_NG_C_Gourds1_V_1,276
04_04_2024_NG_C_Oats_P_3,276
04_04_2024_NG_C_Onions1_V_1,288
04_04_2024_NG_C_PeanutButter_P_2,291
04_04_2024_S_C_Apples1_F_1,250
04_04_2024_S_C_Apples2_F_1,241
04_04_2024_S_C_ApplesLong1_F_1,271
04_04_2024_S_C_Apples_P_3,300
04_04_2024_S_C_Bananas_F_2,288
04_04_2024_S_C_Broccoli1_V_1,296
04_04_2024_S_C_Cantaloupe_F_2,281
04_04_2024_S_C_Celery1_V_1,280
04_04_2024_S_C_Chips1_P_1,302
04_04_2024_S_C_Chips2_P_1,278
04_04_2024_S_C_Chips2_P_2,270
04_04_2024_S_C_Chips3_P_1,308
04_04_2024_S_C_Chips3_P_2,276
04_04_2024_S_C_Chips4_P_1,302
04_04_2024_S_C_Chips_P_2,270
04_04_2024_S_C_Coffee2_P_3,300
04_04_2024_S_C_Coffee_P_3,300
04_04_2024_S_C_Exotic_F_2,282
04_04_2024_S_C_Gourds1_V_1,242
04_04_2024_S_C_Greens_V_2,273
04_04_2024_S_C_Ketchup_P_2,257
04_04_2024_S_C_Lemons1_F_1,280
04_04_2024_S_C_Mayo_P_2,281
04_04_2024_S_C_Oil_P_3,301
04_04_2024_S_C_Oranges1_F_1,275
04_04_2024_S_C_OrangesLong1_F_1,289
04_04_2024_S_C_OrangesLong2_F_1,288
04_04_2024_S_C_PeanutButter_P_3,253
04_04_2024_S_C_Pears1_F_1,296
04_04_2024_S_C_Peppers1_F_1,271
04_04_2024_S_C_Peppers2_F_1,271
04_04_2024_S_C_Pickles_P_2,307
04_04_2024_S_C_Potatoes_V_2,299
04_04_2024_S_C_Ranch_P_2,273
04_04_2024_S_C_Salsa_P_3,300
04_04_2024_S_C_Sauce_P_3,300
04_04_2024_S_C_Sauces_P_2,305
04_04_2024_S_C_Various2_V_2,246
04_04_2024_S_C_Various_F_2,288
04_04_2024_S_C_Various_V_2,279
04_04_2024_W2_C_Alfredo_P_3,274
04_04_2024_W2_C_AppleJuice_P_3,285
04_04_2024_W2_C_Apples1_F_1,223
04_04_2024_W2_C_Apples2_F_1,251
04_04_2024_W2_C_Apples3_F_1,252
04_04_2024_W2_C_Apples5_F_1,263
04_04_2024_W2_C_ApplesLong1_F_1,285
04_04_2024_W2_C_ApplesLong2_F_1,291
04_04_2024_W2_C_AvacadosLong1_F_1,267
04_04_2024_W2_C_Bananas2_F_1,236
04_04_2024_W2_C_BananasLong1_F_1,256
04_04_2024_W2_C_Beans_P_3,295
04_04_2024_W2_C_Bread2_P_2,264
04_04_2024_W2_C_Bread3_P_2,265
04_04_2024_W2_C_Bread_P_2,276
04_04_2024_W2_C_Candy2_P_3,300
04_04_2024_W2_C_Candy_P_3,300
04_04_2024_W2_C_Cans_P_2,248
04_04_2024_W2_C_Chips2_P_3,268
04_04_2024_W2_C_Chips3_P_3,276
04_04_2024_W2_C_Chips4_P_3,280
04_04_2024_W2_C_Chips5_P_3,288
04_04_2024_W2_C_Chips6_P_3,289
04_04_2024_W2_C_Chips_P_3,299
04_04_2024_W2_C_Coffee_P_3,294
04_04_2024_W2_C_Cucumbers1_V_1,267
04_04_2024_W2_C_Cucumbers2_V_1,204
04_04_2024_W2_C_Flour_P_3,278
04_04_2024_W2_C_FruitsLong1_F_1,289
04_04_2024_W2_C_Gourds1_V_1,268
04_04_2024_W2_C_Grapefruits1_F_1,205
04_04_2024_W2_C_Juice_P_2,290
04_04_2024_W2_C_Juice_P_3,305
04_04_2024_W2_C_Ketchup_P_3,305
04_04_2024_W2_C_Lemons1_F_1,303
04_04_2024_W2_C_Mangoes1_F_1,224
04_04_2024_W2_C_Mayo_P_2,310
04_04_2024_W2_C_Melons1_F_1,230
04_04_2024_W2_C_Oil2_P_3,300
04_04_2024_W2_C_Oil_P_3,300
04_04_2024_W2_C_Onions1_V_1,232
04_04_2024_W2_C_Oranges1_F_1,288
04_04_2024_W2_C_PastaSauce_P_2,282
04_04_2024_W2_C_PeanutButter_P_3,275
04_04_2024_W2_C_Peppers1_F_1,270
04_04_2024_W2_C_Pickles_P_3,300
04_04_2024_W2_C_Pineapples1_F_1,309
04_04_2024_W2_C_Plantains1_F_1,274
04_04_2024_W2_C_Potatoes1_V_1,232
04_04_2024_W2_C_Potatoes2_V_1,320
04_04_2024_W2_C_PotatoesLong1_V_1,269
04_04_2024_W2_C_PotatoesLong2_V_1,288
04_04_2024_W2_C_Ranch_P_2,262
04_04_2024_W2_C_RedOnions1_V_1,250
04_04_2024_W2_C_Sauce_P_2,294
04_04_2024_W2_C_SourCream_P_3,301
04_04_2024_W2_C_Spices_P_2,280
04_04_2024_W2_C_Tea_P_3,284
04_04_2024_W2_C_Tomatoes1_F_1,224
04_04_2024_W2_C_Tomatoes2_F_1,227
04_04_2024_W_C_Apples1_F_1,304
04_04_2024_W_C_Apples2_F_1,251
04_04_2024_W_C_Apples3_F_1,251
04_04_2024_W_C_Apples4_F_1,229
04_04_2024_W_C_Avocados1_F_1,265
04_04_2024_W_C_Beans_P_3,295
04_04_2024_W_C_Boxes_P_2,248
04_04_2024_W_C_Bread2_P_2,291
04_04_2024_W_C_Cabbage1_V_1,226
04_04_2024_W_C_CakeBatter_P_2,272
04_04_2024_W_C_CannedPeas_P_3,263
04_04_2024_W_C_Cans_P_3,300
04_04_2024_W_C_Chips_P_2,181
04_04_2024_W_C_Chips_P_3,261
04_04_2024_W_C_Coffee2_P_2,276
04_04_2024_W_C_Coffee3_P_2,268
04_04_2024_W_C_Coffee4_P_2,257
04_04_2024_W_C_Coffee_P_2,233
