folder,psnr,ssim,lpips
03_04_2024_S_L_ApplesLong_F_1,13.25243,0.316,0.67333
03_04_2024_S_L_Apples_F_2,11.91199,0.28211,0.74465
03_04_2024_S_L_Bananas2_F_2,13.0804,0.31484,0.66331
03_04_2024_S_L_Bananas_F_2,12.10926,0.30123,0.73183
03_04_2024_S_L_ChipsSalsa2_P_1,18.53606,0.53225,0.41989
03_04_2024_S_L_ChipsSalsa_P_1,18.54108,0.53228,0.42052
03_04_2024_S_L_EnergyDrinks_P_1,14.87687,0.32483,0.59929
03_04_2024_S_L_Flowers_F_1,11.46928,0.22701,0.66725
03_04_2024_S_L_FruitsLong2_F_1,13.33202,0.30042,0.68367
03_04_2024_S_L_FruitsLong3_F_1,14.82838,0.32975,0.62164
03_04_2024_S_L_FruitsLong_F_1,11.93789,0.23796,0.72399
03_04_2024_S_L_Gatorade_P_2,13.87971,0.35548,0.68274
03_04_2024_S_L_Greens1_V_1,19.17058,0.48028,0.47408
03_04_2024_S_L_Greens2_V_1,15.17225,0.34384,0.6043
03_04_2024_S_L_Greens_V_2,14.93848,0.34773,0.64047
03_04_2024_S_L_Juices_P_2,14.28212,0.35423,0.63373
03_04_2024_S_L_Nuts_P_2,15.46622,0.32957,0.59169
03_04_2024_S_L_Onions1_V_1,12.77826,0.29405,0.69427
03_04_2024_S_L_Onions_V_2,12.17189,0.31022,0.73563
03_04_2024_S_L_Oranges_F_2,12.77952,0.39402,0.75605
03_04_2024_S_L_Peppers1_V_1,17.35265,0.45974,0.5576
03_04_2024_S_L_Peppers_V_2,16.52153,0.38962,0.60325
03_04_2024_S_L_SparklingWater_P_1,16.85967,0.37039,0.60148
03_04_2024_S_L_Tomatoes_F_2,15.24349,0.35589,0.62783
03_04_2024_S_L_VeggiePackages_V_1,17.36392,0.43975,0.55146
03_07_2024_S_L_Apples1_F_1,16.73711,0.47171,0.51238
03_07_2024_S_L_Apples2_F_2,16.40766,0.48253,0.5835
03_07_2024_S_L_Apples3_F_2,11.57081,0.35097,0.77621
03_07_2024_S_L_Apples_F_2,12.60398,0.36808,0.73624
03_07_2024_S_L_ChipsSalsa1_P_1,10.6822,0.12739,0.95789
03_07_2024_S_L_Croutons_P_2,13.2693,0.25992,0.68715
03_07_2024_S_L_Exotic_F_2,13.67287,0.3572,0.65859
03_07_2024_S_L_GrapeFruits1_F_1,16.87521,0.51153,0.49254
03_07_2024_S_L_Nuts1_P_1,12.50367,0.25667,0.6682
03_07_2024_S_L_Onions1_V_1,13.31251,0.34875,0.64749
03_07_2024_S_L_Onions_V_2,12.95293,0.41058,0.66432
03_07_2024_S_L_OrangesLong1_F_1,11.58001,0.30273,0.76252
03_07_2024_S_L_Oranges_F_2,16.80363,0.48504,0.55038
03_07_2024_S_L_Organic1_F_1,17.29562,0.43554,0.52045
03_07_2024_S_L_Potatoes1_V_1,13.49714,0.24005,0.67731
03_07_2024_S_L_TomatoAvocado1_F_1,15.93492,0.37076,0.56325
03_07_2024_S_L_Various_V_2,14.22113,0.33984,0.64399
03_13_2024_S_Co_Apples_F_2,14.28218,0.37999,0.62556
03_13_2024_S_Co_Cabbages_V_2,16.33879,0.47087,0.59821
03_13_2024_S_Co_Tomatoes_V_2,13.98969,0.33842,0.64836
03_21_2024_W_L_Apples1_F_1,16.28385,0.42198,0.59692
03_21_2024_W_L_Apples2_F_2,11.91873,0.25341,0.63823
03_21_2024_W_L_Apples3_F_2,12.61882,0.38404,0.66571
03_21_2024_W_L_Apples_F_2,12.46077,0.3599,0.64362
03_21_2024_W_L_BBQ1_P_1,9.63522,0.20338,0.71364
03_21_2024_W_L_Bagels1_P_1,11.97512,0.21658,0.7384
03_21_2024_W_L_Candy1_P_1,12.31911,0.35155,0.71975
03_21_2024_W_L_Candy2_P_1,12.51434,0.38667,0.72139
03_21_2024_W_L_Candy2_P_2,10.46105,0.22841,0.76288
03_21_2024_W_L_Candy_P_2,11.72191,0.30375,0.70846
03_21_2024_W_L_Cans_P_2,10.07713,0.18677,0.77989
