subcategory,folder_count,psnr,ssim,lpips
Apples,42,12.625,0.353,0.702
Avacados,6,11.726,0.260,0.708
Bananas,15,11.801,0.343,0.718
Coconuts,2,15.073,0.466,0.648
GrapeFruits,6,13.843,0.420,0.675
Lemons,8,13.163,0.361,0.682
Lime,3,11.911,0.283,0.708
Mangoes,6,14.259,0.416,0.664
Melons,16,13.057,0.387,0.692
MultiFruits,7,12.295,0.291,0.722
Nectarines,5,13.126,0.334,0.711
Orange,13,13.150,0.412,0.703
Pears,6,14.246,0.409,0.661
Pineapples,7,11.668,0.188,0.725
Plums,2,11.410,0.283,0.724
Alfredo,2,10.006,0.256,0.821
AppleJuice,4,10.233,0.283,0.847
BBQSauce,5,9.514,0.238,0.817
Bagels,3,10.881,0.234,0.796
Beans,4,10.342,0.264,0.839
Bread,12,10.988,0.276,0.766
Buns,2,10.031,0.247,0.801
Can,17,10.509,0.246,0.766
Candy,17,10.456,0.271,0.795
Cereal,2,10.932,0.284,0.742
Chilli,2,10.133,0.271,0.862
Chips,34,10.612,0.234,0.798
ChipsSalsa,2,10.597,0.288,0.813
Coffee,18,10.770,0.295,0.792
Dressings,2,9.965,0.248,0.781
Drinks,3,11.134,0.286,0.763
EnergyDrinks,4,11.827,0.293,0.735
Flour,7,11.395,0.320,0.783
FruitCans,2,10.363,0.247,0.817
Gatorade,3,11.342,0.296,0.799
GranolaBars,3,10.862,0.258,0.758
Greens,16,12.377,0.289,0.697
Honey,2,10.760,0.297,0.738
Jam,4,9.642,0.231,0.804
Juices,8,10.647,0.259,0.789
Ketchup,6,10.144,0.259,0.796
Mayo,4,11.060,0.298,0.753
Nuts,6,11.469,0.276,0.720
Oil,14,10.282,0.262,0.781
OliveOil,3,9.925,0.277,0.837
PastaSauce,12,12.195,0.336,0.721
PeanutButter,6,10.424,0.285,0.808
Pickles,8,10.149,0.262,0.794
Pringles,2,9.700,0.236,0.804
Ranch,9,10.532,0.273,0.783
Salsa,8,12.082,0.310,0.747
Sauce,12,10.204,0.248,0.801
Snacks,4,11.310,0.286,0.773
Soup,4,9.965,0.257,0.857
Spices,8,10.411,0.268,0.801
Sugar,7,10.921,0.323,0.791
Syrup,3,10.421,0.248,0.711
Tea,2,10.579,0.307,0.816
Tomato,5,10.114,0.232,0.824
Tostitos,2,10.366,0.237,0.818
Vinegar,3,10.486,0.318,0.837
Broccoli,2,14.306,0.312,0.686
Cabbages,2,14.185,0.379,0.662
Corn,3,11.396,0.252,0.727
Cucumbers,7,11.102,0.251,0.724
Garlic,2,14.983,0.451,0.599
Gourds,5,13.203,0.438,0.677
Onions,21,12.374,0.351,0.695
Peppers,14,12.130,0.291,0.718
Plantains,5,15.003,0.470,0.627
Potatoes,11,11.926,0.337,0.716
Radish,2,12.928,0.297,0.659
Tomatoes,16,12.825,0.323,0.687
VariousVeggies,7,12.051,0.321,0.731
