folder,psnr,ssim,lpips
03_04_2024_S_L_ApplesLong_F_1,14.50787,0.40222,0.78359
03_04_2024_S_L_Apples_F_2,13.05936,0.37113,0.79687
03_04_2024_S_L_Bananas2_F_2,14.11262,0.37976,0.75521
03_04_2024_S_L_Bananas_F_2,13.15233,0.38871,0.80938
03_04_2024_S_L_ChipsSalsa2_P_1,16.12076,0.38939,0.72722
03_04_2024_S_L_ChipsSalsa_P_1,15.91313,0.38862,0.74154
03_04_2024_S_L_EnergyDrinks_P_1,14.3314,0.29845,0.76688
03_04_2024_S_L_FruitsLong2_F_1,14.52649,0.3874,0.80027
03_04_2024_S_L_FruitsLong3_F_1,15.2346,0.37056,0.77556
03_04_2024_S_L_FruitsLong_F_1,12.84617,0.30653,0.8164
03_04_2024_S_L_Gatorade_P_2,13.17377,0.35794,0.88157
03_04_2024_S_L_Greens1_V_1,16.91225,0.3599,0.74056
03_04_2024_S_L_Greens2_V_1,15.65325,0.36366,0.7868
03_04_2024_S_L_Greens_V_2,16.03766,0.39466,0.79625
03_04_2024_S_L_Juices_P_2,15.28029,0.38069,0.76601
03_04_2024_S_L_Nuts_P_2,15.30207,0.3458,0.8285
03_04_2024_S_L_Onions1_V_1,13.81784,0.3842,0.7926
03_04_2024_S_L_Onions_V_2,13.05918,0.37926,0.79448
03_04_2024_S_L_Oranges_F_2,14.57871,0.47294,0.78694
03_04_2024_S_L_Peppers1_V_1,16.58773,0.39687,0.76434
03_04_2024_S_L_Peppers_V_2,16.96294,0.41161,0.77115
03_04_2024_S_L_SparklingWater_P_1,16.1145,0.36292,0.8013
03_04_2024_S_L_Tomatoes_F_2,15.51546,0.40668,0.76495
03_04_2024_S_L_VeggiePackages_V_1,15.80878,0.34496,0.77952
03_07_2024_S_L_Apples1_F_1,15.85237,0.43433,0.71963
03_07_2024_S_L_Apples2_F_2,16.40247,0.46235,0.71137
03_07_2024_S_L_Apples3_F_2,11.78164,0.38912,0.8179
03_07_2024_S_L_Apples_F_2,12.5116,0.38683,0.81682
03_07_2024_S_L_ChipsSalsa1_P_1,10.61781,0.1434,0.87669
03_07_2024_S_L_Croutons_P_2,13.78707,0.31284,0.79133
03_07_2024_S_L_Exotic_F_2,14.23845,0.36549,0.76941
03_07_2024_S_L_GrapeFruits1_F_1,15.59237,0.46561,0.69956
03_07_2024_S_L_Nuts1_P_1,13.23668,0.33334,0.76898
03_07_2024_S_L_Onions1_V_1,13.19012,0.38568,0.7707
03_07_2024_S_L_Onions_V_2,13.70685,0.42275,0.7749
03_07_2024_S_L_OrangesLong1_F_1,12.34113,0.36178,0.8141
03_07_2024_S_L_Oranges_F_2,15.4818,0.45394,0.75533
03_07_2024_S_L_Organic1_F_1,15.92607,0.40698,0.75865
03_07_2024_S_L_Potatoes1_V_1,13.54987,0.28284,0.82453
03_07_2024_S_L_TomatoAvocado1_F_1,14.29295,0.33201,0.76867
03_07_2024_S_L_Various_V_2,15.56243,0.37818,0.72162
03_13_2024_S_Co_Apples_F_2,14.85349,0.38812,0.72571
03_13_2024_S_Co_Cabbages_V_2,18.10135,0.50708,0.67764
03_13_2024_S_Co_Tomatoes_V_2,14.34481,0.36554,0.74149
03_21_2024_W_L_Apples1_F_1,15.06342,0.40542,0.72973
03_21_2024_W_L_Apples2_F_2,12.41752,0.29588,0.7061
03_21_2024_W_L_Apples3_F_2,12.71179,0.39591,0.71339
03_21_2024_W_L_Apples_F_2,12.6972,0.38012,0.74325
03_21_2024_W_L_BBQ1_P_1,10.38518,0.23684,0.76424
03_21_2024_W_L_Bagels1_P_1,12.66635,0.26609,0.8132
03_21_2024_W_L_Candy1_P_1,14.11759,0.40874,0.7566
03_21_2024_W_L_Candy2_P_1,14.88569,0.442,0.76621
03_21_2024_W_L_Candy2_P_2,12.03423,0.28948,0.78785
03_21_2024_W_L_Candy_P_2,12.70972,0.32766,0.76847
03_21_2024_W_L_Cans_P_2,11.61394,0.24462,0.81109
03_21_2024_W_L_Cantaloupes_F_2,12.80108,0.35074,0.7914
03_21_2024_W_L_Cereal1_P_1,13.19834,0.31811,0.75724
03_21_2024_W_L_Cheese1_P_1,13.11281,0.30577,0.79083
03_21_2024_W_L_Chips1_P_1,14.32402,0.34968,0.78085
03_21_2024_W_L_Chips_P_2,11.69131,0.24864,0.78583
03_21_2024_W_L_Coconuts1_F_1,16.44247,0.49466,0.7289
03_21_2024_W_L_Coffee1_P_1,12.52963,0.30982,0.79154
03_21_2024_W_L_Coffee2_P_2,13.67929,0.43204,0.76522
03_21_2024_W_L_Coffee_P_2,10.96299,0.3289,0.7834
03_21_2024_W_L_Cookies1_P_1,13.63937,0.34888,0.77703
03_21_2024_W_L_Cucumbers_F_2,11.06244,0.29152,0.77442
03_21_2024_W_L_Drinks_P_2,12.22199,0.31121,0.77855
03_21_2024_W_L_EnergyDrinks1_P_1,13.83807,0.37857,0.75446
03_21_2024_W_L_Gourds1_F_1,14.89972,0.54649,0.7277
03_21_2024_W_L_Honey1_P_1,11.52315,0.30016,0.77881
03_21_2024_W_L_Jam1_P_1,10.20645,0.26341,0.80769
03_21_2024_W_L_Melons1_F_1,13.97641,0.43997,0.76827
03_21_2024_W_L_Nectarines1_F_1,13.6798,0.3782,0.80665
03_21_2024_W_L_Nectarines2_F_1,13.4707,0.28847,0.74043
03_21_2024_W_L_Nuts1_P_1,13.86441,0.36746,0.75787
03_21_2024_W_L_Oil1_P_1,10.22982,0.23835,0.83216
03_21_2024_W_L_Onions_V_2,12.17713,0.45149,0.77105
03_21_2024_W_L_PastaSauce1_P_1,11.56673,0.28223,0.79547
03_21_2024_W_L_Pastasauce_P_2,11.18863,0.26192,0.81948
03_21_2024_W_L_Pears1_F_1,13.88408,0.40099,0.74911
03_21_2024_W_L_Pears_F_2,15.66022,0.47079,0.70593
03_21_2024_W_L_Peas1_P_1,13.34787,0.37329,0.78219
03_21_2024_W_L_Peppers_F_2,11.97048,0.31485,0.74576
03_21_2024_W_L_Pickles1_P_1,12.51175,0.30274,0.75644
03_21_2024_W_L_Pineapples1_F_1,11.79435,0.20925,0.83125
03_21_2024_W_L_Plantains1_F_1,14.41915,0.49009,0.70914
03_21_2024_W_L_Potatoes_V_2,15.36509,0.43783,0.68232
03_21_2024_W_L_Radish_V_2,13.64676,0.33607,0.69345
03_21_2024_W_L_Ranch1_P_1,11.42221,0.27344,0.79222
03_21_2024_W_L_Ranch_P_2,13.22399,0.31197,0.74235
03_21_2024_W_L_Spices1_P_1,12.00488,0.26962,0.76295
03_21_2024_W_L_Syrup1_P_1,12.11269,0.28898,0.73494
03_21_2024_W_L_Syrup_P_2,10.39785,0.2671,0.76502
03_21_2024_W_L_Tomatoes_F_2,13.32304,0.40701,0.71857
04_04_2024_NG_C_Bananas1_F_1,12.81336,0.41313,0.76216
04_04_2024_NG_C_Broth_P_2,11.46152,0.31816,0.83743
04_04_2024_NG_C_Chips_P_2,13.51913,0.31781,0.82615
04_04_2024_NG_C_Fruits1_F_1,13.12999,0.33446,0.7802
04_04_2024_NG_C_Gourds1_V_1,12.8803,0.38805,0.7675
04_04_2024_NG_C_Oats_P_3,10.9221,0.28792,0.86668
04_04_2024_NG_C_Onions1_V_1,13.50288,0.44437,0.74541
04_04_2024_NG_C_PeanutButter_P_2,12.99121,0.34374,0.79933
04_04_2024_S_C_Apples1_F_1,11.96083,0.40741,0.7989
04_04_2024_S_C_Apples2_F_1,14.9565,0.53599,0.73133
04_04_2024_S_C_ApplesLong1_F_1,11.92372,0.43004,0.84778
04_04_2024_S_C_Apples_P_3,11.4934,0.316,0.8481
04_04_2024_S_C_Bananas_F_2,13.61051,0.42775,0.70316
04_04_2024_S_C_Broccoli1_V_1,14.45543,0.2837,0.79906
04_04_2024_S_C_Cantaloupe_F_2,14.36327,0.47581,0.74127
04_04_2024_S_C_Celery1_V_1,11.72801,0.27749,0.83811
04_04_2024_S_C_Chips1_P_1,11.96214,0.25565,0.81517
04_04_2024_S_C_Chips2_P_1,11.61977,0.25318,0.84202
04_04_2024_S_C_Chips2_P_2,10.60116,0.23446,0.82755
04_04_2024_S_C_Chips3_P_1,11.66515,0.2359,0.79064
04_04_2024_S_C_Chips3_P_2,13.70379,0.33931,0.78041
04_04_2024_S_C_Chips4_P_1,11.70534,0.28464,0.88727
04_04_2024_S_C_Chips_P_2,10.6402,0.23541,0.82752
04_04_2024_S_C_Coffee2_P_3,10.82666,0.27503,0.874
04_04_2024_S_C_Coffee_P_3,10.18164,0.28306,0.86247
04_04_2024_S_C_Exotic_F_2,13.69338,0.43143,0.73
04_04_2024_S_C_Gourds1_V_1,12.19154,0.44488,0.77439
04_04_2024_S_C_Greens_V_2,14.95341,0.34297,0.74545
04_04_2024_S_C_Ketchup_P_2,13.59835,0.39386,0.76875
04_04_2024_S_C_Lemons1_F_1,14.06858,0.48198,0.74549
04_04_2024_S_C_Mayo_P_2,13.37285,0.40344,0.78909
04_04_2024_S_C_Oil_P_3,9.99593,0.26224,0.835
04_04_2024_S_C_Oranges1_F_1,16.27398,0.57509,0.68824
04_04_2024_S_C_OrangesLong1_F_1,12.79414,0.47771,0.77524
04_04_2024_S_C_OrangesLong2_F_1,11.09661,0.37689,0.8291
04_04_2024_S_C_PeanutButter_P_3,10.64211,0.28881,0.84689
04_04_2024_S_C_Pears1_F_1,13.61266,0.46957,0.77626
04_04_2024_S_C_Peppers1_F_1,14.37308,0.42138,0.71814
04_04_2024_S_C_Peppers2_F_1,12.34034,0.33009,0.77138
04_04_2024_S_C_Pickles_P_2,11.1119,0.33271,0.81541
04_04_2024_S_C_Potatoes_V_2,14.48198,0.47724,0.70946
04_04_2024_S_C_Ranch_P_2,13.4815,0.34334,0.77647
04_04_2024_S_C_Salsa_P_3,9.74418,0.25775,0.87807
04_04_2024_S_C_Sauce_P_3,10.05254,0.23801,0.86132
04_04_2024_S_C_Sauces_P_2,13.45089,0.31941,0.75775
04_04_2024_S_C_Various2_V_2,14.98784,0.39786,0.75856
04_04_2024_S_C_Various_F_2,13.10467,0.41018,0.77118
04_04_2024_S_C_Various_V_2,12.64346,0.35361,0.77647
04_04_2024_W2_C_Alfredo_P_3,10.44787,0.25705,0.83918
