subcategory,psnr,ssim,lpips
Apples,12.815,0.378,0.777
Avacados,12.031,0.287,0.797
Bananas,12.347,0.381,0.776
Coconuts,14.529,0.462,0.764
GrapeFruits,13.447,0.428,0.777
Lemons,13.601,0.398,0.784
Lime,12.335,0.321,0.801
Mangoes,13.353,0.418,0.774
Melons,13.051,0.405,0.769
MultiFruits,13.067,0.347,0.803
Nectarines,13.102,0.358,0.791
Orange,13.530,0.438,0.782
Pears,13.601,0.413,0.759
Pineapples,11.949,0.237,0.812
Plums,11.858,0.310,0.768
Alfredo,9.981,0.259,0.855
AppleJuice,10.185,0.274,0.853
BBQSauce,9.940,0.249,0.824
Bagels,11.248,0.262,0.836
Beans,10.415,0.275,0.872
Bread,11.473,0.297,0.811
Buns,10.080,0.262,0.828
Can,11.392,0.278,0.815
Candy,11.264,0.301,0.825
Cereal,11.712,0.297,0.792
Chilli,9.915,0.262,0.860
Chips,11.298,0.272,0.835
ChipsSalsa,10.663,0.289,0.845
Coffee,11.669,0.323,0.818
Dressings,10.797,0.276,0.808
Drinks,11.836,0.316,0.801
EnergyDrinks,11.869,0.288,0.802
Flour,12.330,0.351,0.819
FruitCans,10.561,0.257,0.847
Gatorade,10.914,0.287,0.861
GranolaBars,12.801,0.341,0.818
Greens,13.214,0.317,0.769
Honey,10.656,0.288,0.796
Jam,9.824,0.234,0.830
Juices,10.842,0.268,0.841
Ketchup,10.391,0.259,0.817
Mayo,11.389,0.309,0.815
Nuts,12.075,0.305,0.798
Oil,10.317,0.272,0.837
OliveOil,9.773,0.271,0.849
PastaSauce,12.484,0.340,0.803
PeanutButter,10.597,0.290,0.842
Pickles,10.567,0.276,0.830
Pringles,10.013,0.247,0.820
Ranch,11.183,0.288,0.807
Salsa,11.349,0.277,0.832
Sauce,10.420,0.258,0.829
Snacks,12.518,0.320,0.810
Soup,9.918,0.258,0.877
Spices,10.731,0.275,0.824
Sugar,11.806,0.351,0.824
Syrup,10.914,0.281,0.761
Tea,10.574,0.319,0.848
Tomato,10.279,0.242,0.856
Tostitos,10.402,0.260,0.866
Vinegar,10.530,0.303,0.837
Broccoli,15.003,0.319,0.805
Cabbages,16.211,0.437,0.724
Corn,11.734,0.302,0.802
Cucumbers,11.258,0.281,0.790
Garlic,13.510,0.426,0.732
Gourds,13.249,0.453,0.762
Onions,12.639,0.391,0.769
Peppers,12.813,0.324,0.781
Plantains,14.080,0.465,0.753
Potatoes,12.929,0.374,0.772
Radish,13.824,0.328,0.724
Tomatoes,13.034,0.361,0.764
VariousVeggies,13.431,0.359,0.781
