subcategory,psnr,ssim,lpips
Apples,11.956821666666666,0.3356861904761904,0.7659147619047618
Avacados,11.335776666666668,0.2522466666666667,0.7832683333333333
Bananas,11.730814666666667,0.3478166666666666,0.7781246666666666
Coconuts,12.270299999999999,0.42711,0.7543
GrapeFruits,12.449653333333336,0.37464000000000003,0.7293599999999999
Lemons,12.632167499999998,0.34773750000000003,0.7501237500000001
Lime,11.542653333333334,0.2837233333333333,0.7972833333333332
Mangoes,12.624363333333333,0.367175,0.7375216666666665
Melons,12.065021250000001,0.388544375,0.76529625
MultiFruits,11.918288571428572,0.28323714285714285,0.7953314285714287
Nectarines,12.140534,0.328024,0.782678
Orange,12.523492307692306,0.3789707692307692,0.7701584615384617
Pears,12.204363333333333,0.36267833333333327,0.7404583333333333
Pineapples,11.659597142857143,0.21302714285714286,0.8167928571428572
Plums,11.00943,0.28073000000000004,0.789875
Alfredo,9.882010000000001,0.2407,0.87232
AppleJuice,9.915802500000002,0.2368225,0.8770150000000001
BBQSauce,9.595806000000001,0.22421600000000003,0.842342
Bagels,11.116426666666667,0.23135666666666665,0.8473466666666667
Beans,10.13407,0.24375999999999998,0.9002124999999999
Bread,10.721734166666664,0.24698166666666674,0.829555
Buns,10.11628,0.23384,0.85227
Can,10.485820588235294,0.2433229411764706,0.8272570588235294
Candy,10.122991176470588,0.25327352941176473,0.8521476470588234
Cereal,10.289159999999999,0.26061500000000004,0.81115
Chilli,9.803104999999999,0.243015,0.890065
Chips,10.473310294117647,0.2313817647058823,0.8549317647058824
ChipsSalsa,10.48935,0.22449000000000002,0.876955
Coffee,10.401063333333335,0.27714055555555556,0.8407822222222223
Dressings,9.82337,0.242655,0.852615
Drinks,10.678790000000001,0.27564,0.81817
EnergyDrinks,10.591397500000001,0.24192000000000002,0.7995625
Flour,10.982105714285714,0.31711714285714293,0.8401771428571428
FruitCans,10.206665000000001,0.224215,0.879525
Gatorade,10.682796666666666,0.22484,0.8416733333333334
GranolaBars,11.281536666666666,0.28317,0.7980866666666667
Greens,11.334466250000002,0.262831875,0.7830275
Honey,10.02834,0.273535,0.81101
Jam,9.6934825,0.19837,0.8631775
Juices,10.55919375,0.22543500000000002,0.81105
Ketchup,9.703606666666667,0.2470266666666667,0.8471483333333333
Mayo,10.136595,0.2541675,0.8511475000000001
Nuts,10.91817333333333,0.25981000000000004,0.8018383333333333
Oil,10.194342142857144,0.2457642857142857,0.8238978571428571
OliveOil,9.540676666666666,0.24326000000000003,0.8733266666666667
PastaSauce,10.8508925,0.27941916666666666,0.8278841666666666
PeanutButter,10.135411666666668,0.2466616666666667,0.8672333333333334
Pickles,10.01262375,0.23562625000000004,0.874275
Pringles,9.271145,0.23732999999999999,0.8635550000000001
Ranch,10.335584444444445,0.2403388888888889,0.8316366666666667
Salsa,10.781173749999999,0.22870999999999997,0.8075049999999999
Sauce,9.7985075,0.22697749999999997,0.8523149999999999
Snacks,10.9753,0.258625,0.8325925000000001
Soup,9.99381,0.1884125,0.9123350000000001
Spices,9.968135,0.23662999999999998,0.84934
Sugar,10.36413857142857,0.28840714285714286,0.8523985714285714
Syrup,10.026143333333334,0.2505866666666667,0.7796566666666666
Tea,10.23535,0.267915,0.8631249999999999
Tomato,10.160053999999999,0.20585399999999998,0.8830899999999999
Tostitos,10.26252,0.19563999999999998,0.900965
Vinegar,10.041226666666665,0.26861,0.8718499999999999
Broccoli,12.32175,0.250675,0.7811349999999999
Cabbages,12.077839999999998,0.34843,0.7283
Corn,11.832926666666665,0.2716733333333333,0.8164433333333333
Cucumbers,10.859714285714286,0.25035714285714283,0.8102914285714284
Garlic,13.38372,0.393915,0.6336200000000001
Gourds,11.731856,0.423634,0.75943
Onions,11.807311904761903,0.3495404761904761,0.7641804761904761
Peppers,11.602039285714289,0.2748407142857142,0.8010671428571428
Plantains,12.800632000000002,0.42216,0.740658
Potatoes,11.62278090909091,0.3498718181818182,0.77375
Radish,11.553455,0.26587,0.72986
Tomatoes,12.07134,0.30943375000000006,0.756195
VariousVeggies,11.401532857142856,0.29823999999999995,0.8104342857142857
